q1,q2,q1_example_answers,generated_impostor_answer,generated_impostor_raw,impostor_answer_type,judge_choice,judge_raw_output,judge_valid_output,judge_correct,blended_in,caught_by_judge,pair_index,round_num
carpenter's tool,tool,"['file', 'chainsaw']",hammer,hammer,shared,yes,yes,True,True,True,False,16,0
carpenter's tool,tool,"['drill', 'spirit level']",screwdriver,screwdriver,shared,yes,yes,True,True,True,False,16,1
carpenter's tool,tool,"['ruler', 'screws']",hammer,hammer,shared,yes,yes,True,True,True,False,16,2
carpenter's tool,tool,"['drill', 'nails']",hammer,hammer,shared,yes,yes,True,True,True,False,16,3
carpenter's tool,tool,"['nails', 'saw']",hammer,hammer,shared,yes,yes,True,True,True,False,16,4
carpenter's tool,weapon,"['wood', 'file']",sword,sword,q2_only,no,no,True,True,False,True,17,0
carpenter's tool,weapon,"['saw', 'spanner']",saw,saw,invalid,yes,yes,True,False,True,False,17,1
carpenter's tool,weapon,"['nails', 'spirit level']",sword,sword,q2_only,no,no,True,True,False,True,17,2
carpenter's tool,weapon,"['screws', 'knife']",knife,knife,shared,no,no,True,False,False,True,17,3
carpenter's tool,weapon,"['chainsaw', 'spanner']",knife,knife,shared,no,no,True,False,False,True,17,4
chemical element,metal,"['arsenic', 'boron']",steel,steel,q2_only,no,no,True,True,False,True,18,0
chemical element,metal,"['caesium', 'neon']",copper,copper,shared,yes,yes,True,True,True,False,18,1
chemical element,metal,"['carbon', 'iodine']",iron,iron,shared,yes,yes,True,True,True,False,18,2
chemical element,metal,"['lead', 'argon']",steel,steel,q2_only,no,no,True,True,False,True,18,3
chemical element,metal,"['fluoride', 'copper']",iron,iron,shared,yes,yes,True,True,True,False,18,4
colour,hair colour,"['green', 'indigo']",auburn,auburn,q2_only,yes,yes,True,False,True,False,19,0
colour,hair colour,"['yellow', 'turquoise']",auburn,auburn,q2_only,yes,yes,True,False,True,False,19,1
colour,hair colour,"['white', 'turquoise']",auburn,auburn,q2_only,yes,yes,True,False,True,False,19,2
colour,hair colour,"['purple', 'brown']",auburn,auburn,q2_only,yes,yes,True,False,True,False,19,3
colour,hair colour,"['beige', 'blue']",auburn,auburn,q2_only,yes,yes,True,False,True,False,19,4
colour,metal,"['navy', 'indigo']",bronze,bronze,q2_only,no,no,True,True,False,True,20,0
colour,metal,"['green', 'black']",iron,iron,q2_only,no,no,True,True,False,True,20,1
colour,metal,"['white', 'burgundy']",bronze,bronze,q2_only,no,no,True,True,False,True,20,2
colour,metal,"['red', 'grey']",steel,steel,q2_only,no,no,True,True,False,True,20,3
colour,metal,"['indigo', 'lilac']",bronze,bronze,q2_only,no,no,True,True,False,True,20,4
farm animal,four-legged animal,"['hen', 'chicken']",dog,dog,shared,no,no,True,False,False,True,21,0
farm animal,four-legged animal,"['horse', 'lamb']",dog,dog,shared,no,no,True,False,False,True,21,1
farm animal,four-legged animal,"['sheepdog', 'llama']",dog,dog,shared,no,no,True,False,False,True,21,2
farm animal,four-legged animal,"['geese', 'cat']",dog,dog,shared,no,no,True,False,False,True,21,3
farm animal,four-legged animal,"['lamb', 'rabbit']",dog,dog,shared,no,no,True,False,False,True,21,4
farm animal,meat,"['cat', 'turkey']",turkey,turkey,shared,yes,yes,True,True,True,False,22,0
farm animal,meat,"['llama', 'geese']",veal,veal,q2_only,yes,yes,True,False,True,False,22,1
farm animal,meat,"['cow', 'sheepdog']",pork,pork,q2_only,no,no,True,True,False,True,22,2
farm animal,meat,"['sheepdog', 'lamb']",lamb,lamb,shared,yes,yes,True,True,True,False,22,3
farm animal,meat,"['horse', 'hen']",ham,ham,q2_only,no,no,True,True,False,True,22,4
four-legged animal,meat,"['crocodile', 'goat']",bacon,bacon,q2_only,no,no,True,True,False,True,23,0
four-legged animal,meat,"['gazelle', 'lion']",buffalo,buffalo,invalid,no,no,True,True,False,True,23,1
four-legged animal,meat,"['rhino', 'anteater']",bacon,bacon,q2_only,no,no,True,True,False,True,23,2
four-legged animal,meat,"['crocodile', 'pig']",taco,taco,invalid,no,no,True,True,False,True,23,3
four-legged animal,meat,"['bison', 'lion']",veal,veal,q2_only,no,no,True,True,False,True,23,4
four-legged animal,rodent,"['gazelle', 'pig']",mouse,mouse,shared,no,no,True,False,False,True,24,0
four-legged animal,rodent,"['elephant', 'anteater']",rat,rat,shared,no,no,True,False,False,True,24,1
four-legged animal,rodent,"['rat', 'wolf']",mouse,mouse,shared,no,no,True,False,False,True,24,2
four-legged animal,rodent,"['frog', 'tiger']",rat,rat,shared,no,no,True,False,False,True,24,3
four-legged animal,rodent,"['wolf', 'monkey']",rat,rat,shared,no,no,True,False,False,True,24,4
four-wheeled vehicle,vehicle,"['gokart', 'van']",motorcycle,motorcycle,invalid,no,no,True,True,False,True,25,0
four-wheeled vehicle,vehicle,"['plane', 'dune buggy']",boat,boat,q2_only,no,no,True,True,False,True,25,1
four-wheeled vehicle,vehicle,"['jeep', 'van']",truck,truck,shared,yes,yes,True,True,True,False,25,2
four-wheeled vehicle,vehicle,"['tractor', 'bus']",pickup truck,pickup truck,invalid,yes,yes,True,False,True,False,25,3
four-wheeled vehicle,vehicle,"['jeep', 'quad bike']",bicycle,bicycle,q2_only,no,no,True,True,False,True,25,4
furniture,living room furniture,"['stool', 'bookcase']",rug,rug,q2_only,no,no,True,True,False,True,26,0
furniture,living room furniture,"['fridge', 'desk']",bookshelf,bookshelf,shared,yes,yes,True,True,True,False,26,1
furniture,living room furniture,"['desk', 'sofa']",rug,rug,q2_only,no,no,True,True,False,True,26,2
furniture,living room furniture,"['bookshelf', 'shelves']",rug,rug,q2_only,no,no,True,True,False,True,26,3
furniture,living room furniture,"['bookshelf', 'fridge']",bookshelf,bookshelf,shared,yes,yes,True,True,True,False,26,4
gardening tool,tool,"['hose', 'brush']",hammer,hammer,q2_only,no,no,True,True,False,True,27,0
gardening tool,tool,"['secateurs', 'shears']",pruning shear,pruning shear,invalid,yes,yes,True,False,True,False,27,1
gardening tool,tool,"['rake', 'hose']",hammer,hammer,q2_only,no,no,True,True,False,True,27,2
gardening tool,tool,"['bucket', 'brush']",hammer,hammer,q2_only,no,no,True,True,False,True,27,3
gardening tool,tool,"['gardening gloves', 'strimmer']",hammer,hammer,q2_only,no,no,True,True,False,True,27,4
green vegetable,vegetable,"['celery', 'sugar snap peas']",zucchini,zucchini,invalid,yes,yes,True,False,True,False,28,0
green vegetable,vegetable,"['broccoli', 'beans']",zucchini,zucchini,invalid,yes,yes,True,False,True,False,28,1
green vegetable,vegetable,"['kale', 'broccoli']",carrot,carrot,q2_only,no,no,True,True,False,True,28,2
green vegetable,vegetable,"['sugar snap peas', 'peas']",carrot,carrot,q2_only,no,no,True,True,False,True,28,3
green vegetable,vegetable,"['peppers', 'celery']",onion,onion,q2_only,no,no,True,True,False,True,28,4
herb,spice,"['dill', 'fennel']",cumin,cumin,q2_only,yes,yes,True,False,True,False,29,0
herb,spice,"['lavender', 'rosemary']",thyme,thyme,invalid,yes,yes,True,False,True,False,29,1
herb,spice,"['cinnamon', 'salt']",pepper,pepper,shared,no,no,True,False,False,True,29,2
herb,spice,"['parsley', 'thyme']",cumin,cumin,q2_only,yes,yes,True,False,True,False,29,3
herb,spice,"['dill', 'coriander']",cumin,cumin,q2_only,yes,yes,True,False,True,False,29,4
insect,stinging insect,"['scorpions', 'woodlouse']",scorpion,scorpion,q2_only,no,no,True,True,False,True,30,0
insect,stinging insect,"['housefly', 'grasshopper']",wasp,wasp,shared,yes,yes,True,True,True,False,30,1
insect,stinging insect,"['earwig', 'centipede']",centipede,centipede,invalid,no,no,True,True,False,True,30,2
insect,stinging insect,"['housefly', 'bee']",bee,bee,shared,yes,yes,True,True,True,False,30,3
insect,stinging insect,"['mosquito', 'ant']",hornet,hornet,q2_only,yes,yes,True,False,True,False,30,4
kitchen appliance,kitchen utensil,"['toaster', 'plate']",spatula,spatula,shared,yes,yes,True,True,True,False,31,0
kitchen appliance,kitchen utensil,"['pan', 'smoothie maker']",spatula,spatula,shared,yes,yes,True,True,True,False,31,1
kitchen appliance,kitchen utensil,"['bread maker', 'smoothie maker']",knife,knife,shared,no,no,True,False,False,True,31,2
kitchen appliance,kitchen utensil,"['fork', 'food processor']",spatula,spatula,shared,yes,yes,True,True,True,False,31,3
kitchen appliance,kitchen utensil,"['dishwasher', 'pot']",knife,knife,shared,no,no,True,False,False,True,31,4
musical instrument,string instrument,"['xylophone', 'drums']",violin,violin,shared,yes,yes,True,True,True,False,32,0
musical instrument,string instrument,"['xylophone', 'bongos']",violin,violin,shared,yes,yes,True,True,True,False,32,1
musical instrument,string instrument,"['recorder', 'tuba']",recorder,recorder,invalid,yes,yes,True,False,True,False,32,2
musical instrument,string instrument,"['double bass', 'keyboard']",violin,violin,shared,yes,yes,True,True,True,False,32,3
musical instrument,string instrument,"['xylophone', 'oboe']",violin,violin,shared,yes,yes,True,True,True,False,32,4
part of a building,room in a house,"['elevators', 'foundations']",hall,hall,invalid,yes,yes,True,False,True,False,33,0
part of a building,room in a house,"['corridor', 'mortar']",bedroom,bedroom,q2_only,yes,yes,True,False,True,False,33,1
part of a building,room in a house,"['plaster', 'outer wall']",bathroom,bathroom,shared,yes,yes,True,True,True,False,33,2
part of a building,room in a house,"['bathroom', 'exit']",hall,hall,invalid,yes,yes,True,False,True,False,33,3
part of a building,room in a house,"['beams', 'plaster']",hall,hall,invalid,yes,yes,True,False,True,False,33,4
part of the body,part of the face,"['neck', 'back']",jaw,jaw,q2_only,yes,yes,True,False,True,False,34,0
part of the body,part of the face,"['mouth', 'skeleton']",nose,nose,shared,yes,yes,True,True,True,False,34,1
part of the body,part of the face,"['back', 'blood']",nose,nose,shared,yes,yes,True,True,True,False,34,2
part of the body,part of the face,"['ribs', 'stomach']",eye,eye,invalid,yes,yes,True,False,True,False,34,3
part of the body,part of the face,"['hands', 'brain']",nose,nose,shared,yes,yes,True,True,True,False,34,4
tool,weapon,"['screws', 'spanner']",none,none,invalid,no,no,True,True,False,True,35,0
tool,weapon,"['shovel', 'nails']",sword,sword,q2_only,no,no,True,True,False,True,35,1
tool,weapon,"['drill', 'pen']",dagger,dagger,q2_only,no,no,True,True,False,True,35,2
tool,weapon,"['nails', 'shovel']",sword,sword,q2_only,no,no,True,True,False,True,35,3
tool,weapon,"['screws', 'axe']",spear,spear,q2_only,no,no,True,True,False,True,35,4
deciduous tree,fruit tree,"['oak', 'willow']",apple,apple,shared,no,no,True,False,False,True,36,0
deciduous tree,fruit tree,"['oak', 'walnut']",apple,apple,shared,no,no,True,False,False,True,36,1
deciduous tree,fruit tree,"['chestnut', 'poplar']",pear,pear,shared,no,no,True,False,False,True,36,2
deciduous tree,fruit tree,"['oak', 'ash']",apple,apple,shared,no,no,True,False,False,True,36,3
deciduous tree,fruit tree,"['hickory', 'maple']",apple,apple,shared,no,no,True,False,False,True,36,4
wild cat,jungle animal,"['cougar', 'bobcat']",leopard,leopard,shared,yes,yes,True,True,True,False,37,0
wild cat,jungle animal,"['cheetah', 'lynx']",leopard,leopard,shared,yes,yes,True,True,True,False,37,1
wild cat,jungle animal,"['lion', 'serval']",leopard,leopard,shared,yes,yes,True,True,True,False,37,2
wild cat,jungle animal,"['caracal', 'snow leopard']",jaguar,jaguar,shared,yes,yes,True,True,True,False,37,3
wild cat,jungle animal,"['ocelot', 'bobcat']",leopard,leopard,shared,yes,yes,True,True,True,False,37,4
bathroom item,cleaning supply,"['toothpaste', 'razor']",duster,duster,q2_only,yes,yes,True,False,True,False,38,0
bathroom item,cleaning supply,"['conditioner', 'plunger']",broom,broom,q2_only,no,no,True,True,False,True,38,1
bathroom item,cleaning supply,"['towel', 'toothpaste']",rag,rag,invalid,yes,yes,True,False,True,False,38,2
bathroom item,cleaning supply,"['towel', 'shampoo']",spray,spray,invalid,yes,yes,True,False,True,False,38,3
bathroom item,cleaning supply,"['plunger', 'toilet brush']",broom,broom,q2_only,no,no,True,True,False,True,38,4
school supply,art supply,"['highlighter', 'folder']",paintbrush,paintbrush,q2_only,no,no,True,True,False,True,39,0
school supply,art supply,"['folder', 'textbook']",painting brushes,painting brushes,invalid,no,no,True,True,False,True,39,1
school supply,art supply,"['notebook', 'calculator']",paintbrush,paintbrush,q2_only,no,no,True,True,False,True,39,2
school supply,art supply,"['highlighter', 'scissors']",paintbrush,paintbrush,q2_only,no,no,True,True,False,True,39,3
school supply,art supply,"['colored pencil', 'backpack']",painting,painting,invalid,no,no,True,True,False,True,39,4
board game,strategy game,"['guess who', 'monopoly']",risk,Risk,shared,yes,yes,True,True,True,False,40,0
board game,strategy game,"['cluedo', 'risk']",tetris,tetris,invalid,no,no,True,True,False,True,40,1
board game,strategy game,"['guess who', 'boggle']",civilization,civilization,q2_only,no,no,True,True,False,True,40,2
board game,strategy game,"['checkers', 'pandemic']",tetris,tetris,invalid,no,no,True,True,False,True,40,3
board game,strategy game,"['ticket to ride', 'checkers']",tetris,tetris,invalid,no,no,True,True,False,True,40,4
root vegetable,soup ingredient,"['turnip', 'taro']",chickpea,chickpea,invalid,no,no,True,True,False,True,41,0
root vegetable,soup ingredient,"['yam', 'rutabaga']",celery,celery,q2_only,no,no,True,True,False,True,41,1
root vegetable,soup ingredient,"['radish', 'taro']",tomato,tomato,q2_only,no,no,True,True,False,True,41,2
root vegetable,soup ingredient,"['celeriac', 'jicama']",celery,celery,q2_only,no,no,True,True,False,True,41,3
root vegetable,soup ingredient,"['carrot', 'parsnip']",beet,beet,invalid,yes,yes,True,False,True,False,41,4
percussion instrument,marching band instrument,"['bongo', 'cajon']",tuba,tuba,q2_only,no,no,True,True,False,True,42,0
percussion instrument,marching band instrument,"['maracas', 'bongo']",trombone,trombone,q2_only,no,no,True,True,False,True,42,1
percussion instrument,marching band instrument,"['bass drum', 'djembe']",trombone,trombone,q2_only,no,no,True,True,False,True,42,2
percussion instrument,marching band instrument,"['glockenspiel', 'triangle']",snare drum,snare drum,shared,yes,yes,True,True,True,False,42,3
percussion instrument,marching band instrument,"['xylophone', 'djembe']",trombone,trombone,q2_only,no,no,True,True,False,True,42,4
building material,natural resource,"['drywall', 'brick']",iron,iron,q2_only,yes,yes,True,False,True,False,43,0
building material,natural resource,"['wood', 'sand']",oil,oil,q2_only,no,no,True,True,False,True,43,1
building material,natural resource,"['timber', 'cement']",coal,coal,q2_only,no,no,True,True,False,True,43,2
building material,natural resource,"['fiberglass', 'stone']",coal,coal,q2_only,no,no,True,True,False,True,43,3
building material,natural resource,"['timber', 'asphalt']",coal,coal,q2_only,no,no,True,True,False,True,43,4
weapon,hunting gear,"['cannon', 'knife']",bow,bow,shared,yes,yes,True,True,True,False,44,0
weapon,hunting gear,"['bow', 'shotgun']",bow,bow,shared,yes,yes,True,True,True,False,44,1
weapon,hunting gear,"['spear', 'bow']",bow,bow,shared,yes,yes,True,True,True,False,44,2
weapon,hunting gear,"['knife', 'machine gun']",bow,bow,shared,yes,yes,True,True,True,False,44,3
weapon,hunting gear,"['dagger', 'missile']",bow,bow,shared,yes,yes,True,True,True,False,44,4
livestock,pack animal,"['chicken', 'duck']",camel,camel,q2_only,yes,yes,True,False,True,False,45,0
livestock,pack animal,"['buffalo', 'goat']",camel,camel,q2_only,yes,yes,True,False,True,False,45,1
livestock,pack animal,"['chicken', 'horse']",camel,camel,q2_only,yes,yes,True,False,True,False,45,2
livestock,pack animal,"['sheep', 'pig']",camel,camel,q2_only,yes,yes,True,False,True,False,45,3
livestock,pack animal,"['donkey', 'horse']",camel,camel,q2_only,yes,yes,True,False,True,False,45,4
flower,wedding item,"['sunflower', 'peony']",cake,cake,q2_only,no,no,True,True,False,True,46,0
flower,wedding item,"['marigold', 'dandelion']",ring,ring,q2_only,no,no,True,True,False,True,46,1
flower,wedding item,"['daffodil', 'dandelion']",wedding cake,wedding cake,invalid,no,no,True,True,False,True,46,2
flower,wedding item,"['hibiscus', 'lily']",cake,cake,q2_only,no,no,True,True,False,True,46,3
flower,wedding item,"['marigold', 'violet']",ring,ring,q2_only,no,no,True,True,False,True,46,4
beach item,summer clothing,"['towel', 'flip flops']",hat,hat,invalid,yes,yes,True,False,True,False,47,0
beach item,summer clothing,"['umbrella', 'swimsuit']",sarong,sarong,invalid,no,no,True,True,False,True,47,1
beach item,summer clothing,"['sunscreen', 'sunglasses']",hat,hat,invalid,yes,yes,True,False,True,False,47,2
beach item,summer clothing,"['frisbee', 'surfboard']",swimsuit,swimsuit,shared,yes,yes,True,True,True,False,47,3
beach item,summer clothing,"['sandcastle', 'bucket']",trunkampütte,trunkampütte,invalid,no,no,True,True,False,True,47,4
vehicle,military equipment,"['train', 'motorcycle']",tank,tank,shared,yes,yes,True,True,True,False,48,0
vehicle,military equipment,"['scooter', 'submarine']",bazooka,bazooka,invalid,no,no,True,True,False,True,48,1
vehicle,military equipment,"['scooter', 'van']",bazooka,bazooka,invalid,no,no,True,True,False,True,48,2
vehicle,military equipment,"['drone', 'jeep']",tank,tank,shared,yes,yes,True,True,True,False,48,3
vehicle,military equipment,"['submarine', 'bus']",missile,missile,q2_only,no,no,True,True,False,True,48,4
sweet treat,halloween item,"['lollipop', 'pudding']",mask,mask,q2_only,no,no,True,True,False,True,49,0
sweet treat,halloween item,"['pudding', 'donut']",mask,mask,q2_only,no,no,True,True,False,True,49,1
sweet treat,halloween item,"['chocolate', 'lollipop']",mask,mask,q2_only,no,no,True,True,False,True,49,2
sweet treat,halloween item,"['pudding', 'donut']",mask,mask,q2_only,no,no,True,True,False,True,49,3
sweet treat,halloween item,"['ice cream', 'macaron']",mask,mask,q2_only,no,no,True,True,False,True,49,4
country in asia,island nation,"['iran', 'maldives']",bahamas,bahamas,q2_only,no,no,True,True,False,True,50,0
country in asia,island nation,"['thailand', 'japan']",singapore,singapore,shared,no,no,True,False,False,True,50,1
country in asia,island nation,"['taiwan', 'india']",singapore,singapore,shared,no,no,True,False,False,True,50,2
country in asia,island nation,"['philippines', 'maldives']",cape verde,cape verde,invalid,no,no,True,True,False,True,50,3
country in asia,island nation,"['china', 'nepal']",bahamas,bahamas,q2_only,no,no,True,True,False,True,50,4
rodent,house pest,"['marmot', 'chipmunk']",rat,rat,shared,yes,yes,True,True,True,False,51,0
rodent,house pest,"['vole', 'mouse']",ant,ant,q2_only,yes,yes,True,False,True,False,51,1
rodent,house pest,"['hamster', 'marmot']",rat,rat,shared,yes,yes,True,True,True,False,51,2
rodent,house pest,"['gerbil', 'groundhog']",rat,rat,shared,yes,yes,True,True,True,False,51,3
rodent,house pest,"['squirrel', 'porcupine']",ant,ant,q2_only,yes,yes,True,False,True,False,51,4
pizza topping,dairy product,"['tomato', 'parmesan']",butter,butter,q2_only,no,no,True,True,False,True,52,0
pizza topping,dairy product,"['cheese', 'ricotta']",yogurt,yogurt,q2_only,no,no,True,True,False,True,52,1
pizza topping,dairy product,"['bacon', 'onion']",cheese,cheese,shared,yes,yes,True,True,True,False,52,2
pizza topping,dairy product,"['onion', 'olive']",cheese,cheese,shared,yes,yes,True,True,True,False,52,3
pizza topping,dairy product,"['olive', 'bell pepper']",none,none,invalid,no,no,True,True,False,True,52,4
water sport,extreme sport,"['wakeboarding', 'cliff diving']",skydiving,skydiving,q2_only,no,no,True,True,False,True,53,0
water sport,extreme sport,"['wakeboarding', 'sailing']",skydiving,skydiving,q2_only,no,no,True,True,False,True,53,1
water sport,extreme sport,"['snorkeling', 'swimming']",surfing,surfing,shared,yes,yes,True,True,True,False,53,2
water sport,extreme sport,"['water polo', 'canoeing']",base jumping,base jumping,q2_only,no,no,True,True,False,True,53,3
water sport,extreme sport,"['fishing', 'kayaking']",rock climbing,rock climbing,q2_only,no,no,True,True,False,True,53,4
mythological creature,movie monster,"['zombie', 'minotaur']",mummy,mummy,shared,no,no,True,False,False,True,54,0
mythological creature,movie monster,"['griffin', 'werewolf']",mummy,mummy,shared,no,no,True,False,False,True,54,1
