q1,q2,rounds,blended_in_rate,caught_rate,judge_consistency
french food,cheese,10,0.0,1.0,1.0
freshwater fish,game fish,10,0.0,1.0,1.0
furniture,living room furniture,10,1.0,0.0,1.0
furniture,wood object,10,1.0,0.0,1.0
gardening tool,tool,10,0.0,1.0,1.0
gemstone,color,10,0.0,1.0,1.0
german brand,car brand,10,0.0,1.0,1.0
green fruit,salad ingredient,10,0.0,1.0,0.3
green vegetable,vegetable,10,0.4,0.6,0.9
gym equipment,home workout equipment,10,1.0,0.0,0.5
hand tool,gardening tool,10,0.7,0.3,0.3
heavy machinery,farm equipment,10,1.0,0.0,1.0
herb,spice,10,0.3,0.7,0.7
herbivore,farm animal,10,0.0,1.0,1.0
hobby,outdoor activity,10,1.0,0.0,1.0
hospital staff,medical profession,10,1.0,0.0,0.0
hot drink,caffeinated drink,10,1.0,0.0,1.0
houseplant,succulent,10,1.0,0.0,0.0
insect,stinging insect,10,1.0,0.0,0.0
kitchen appliance,kitchen utensil,10,0.1,0.9,0.1
kitchen appliance,smart home device,10,0.0,1.0,1.0
livestock,pack animal,10,1.0,0.0,0.1
martial art,olympic sport,10,0.0,1.0,1.0
metal,chemical element,10,0.5,0.5,0.6
musical instrument,string instrument,10,1.0,0.0,1.0
mythological creature,movie monster,10,0.0,1.0,0.9
mythological hero,constellation,10,0.0,1.0,0.0
nut,baking ingredient,10,0.0,1.0,1.0
ocean animal,aquarium pet,10,0.0,1.0,1.0
part of a building,room in a house,10,1.0,0.0,0.5
part of the body,part of the face,10,1.0,0.0,0.0
party game,card game,10,0.0,1.0,1.0
pasta shape,italian food,10,0.0,1.0,1.0
percussion instrument,marching band instrument,10,0.2,0.8,1.0
pizza topping,dairy product,10,0.2,0.8,1.0
precious metal,jewelry material,10,1.0,0.0,1.0
programming language,web technology,10,0.0,1.0,1.0
red fruit,berry,10,1.0,0.0,1.0
reptile,pet,10,0.0,1.0,1.0
rodent,house pest,10,1.0,0.0,0.5
root vegetable,soup ingredient,10,0.0,1.0,1.0
salty snack,movie theater food,10,1.0,0.0,1.0
school subject,craft,10,0.0,1.0,1.0
school supply,art supply,10,0.0,1.0,1.0
social media platform,messaging app,10,0.0,1.0,0.0
software application,google product,10,0.4,0.6,1.0
soup,noodle dish,10,0.4,0.6,0.7
spanish speaking country,south american country,10,1.0,0.0,0.0
string instrument,orchestra instrument,10,0.2,0.8,1.0
sweet treat,halloween item,10,0.0,1.0,1.0
tech giant,streaming service,10,0.0,1.0,0.0
tool,weapon,10,0.4,0.6,1.0
transport with wheels,public transport,10,1.0,0.0,1.0
uniformed profession,medical profession,10,0.4,0.6,0.8
vehicle,military equipment,10,0.6,0.4,1.0
venomous animal,australian animal,10,0.0,1.0,1.0
water sport,extreme sport,10,0.0,1.0,1.0
watercraft,recreational vehicle,10,0.0,1.0,1.0
weapon,hunting gear,10,1.0,0.0,1.0
wild cat,jungle animal,10,1.0,0.0,0.4
winter sport,olympic sport,10,0.0,1.0,1.0
yellow food,dessert,10,0.0,1.0,1.0
