q1,q2,q1_example_answers,generated_impostor_answer,generated_impostor_raw,impostor_answer_type,judge_choice,judge_raw_output,judge_valid_output,judge_correct,blended_in,caught,pair_index,round_num
bathroom fixture,living room furniture,"['towel rail', 'sink']",shelf,shelf,invalid,no,no,True,True,False,True,4,1
bathroom fixture,living room furniture,"['sink', 'light']",shelf,shelf,invalid,no,no,True,True,False,True,4,2
bathroom fixture,living room furniture,"['sink', 'radiator']",shelf,shelf,invalid,no,no,True,True,False,True,4,3
bathroom fixture,living room furniture,"['mirror', 'window']",shelf,shelf,invalid,no,no,True,True,False,True,4,4
bird,bird of prey,"['jackdaw', 'goldfinch']",crow,crow,invalid,yes,yes,True,False,True,False,5,0
bird,bird of prey,"['stork', 'goldfinch']",eagle,eagle,shared,yes,yes,True,True,True,False,5,1
bird,bird of prey,"['parrot', 'hawk']",eagle,eagle,shared,yes,yes,True,True,True,False,5,2
bird,bird of prey,"['flamingo', 'bluebird']",eagle,eagle,shared,yes,yes,True,True,True,False,5,3
bird,bird of prey,"['ostrich', 'blue tit']",raven,raven,invalid,yes,yes,True,False,True,False,5,4
bird,farm animal,"['ostrich', 'bluebird']",duck,duck,shared,yes,yes,True,True,True,False,6,0
bird,farm animal,"['starling', 'hawk']",duck,duck,shared,yes,yes,True,True,True,False,6,1
bird,farm animal,"['swan', 'magpie']",duck,duck,shared,yes,yes,True,True,True,False,6,2
bird,farm animal,"['dove', 'swallow']",duck,duck,shared,yes,yes,True,True,True,False,6,3
bird,farm animal,"['robin', 'vulture']",duck,duck,shared,yes,yes,True,True,True,False,6,4
bird,meat,"['great tit', 'blackbird']",pheasant,pheasant,invalid,yes,yes,True,False,True,False,7,0
bird,meat,"['eagle', 'blackbird']",chicken,chicken,shared,no,no,True,False,False,True,7,1
bird,meat,"['woodpecker', 'ostrich']",chicken,chicken,shared,no,no,True,False,False,True,7,2
bird,meat,"['eagle', 'hawk']",duck,duck,shared,yes,yes,True,True,True,False,7,3
bird,meat,"['canary', 'swallow']",duck,duck,shared,yes,yes,True,True,True,False,7,4
bird,water bird,"['eagle', 'blackbird']",duck,duck,shared,yes,yes,True,True,True,False,8,0
bird,water bird,"['swallow', 'pigeon']",swan,swan,shared,yes,yes,True,True,True,False,8,1
bird,water bird,"['crow', 'hawk']",swan,swan,shared,yes,yes,True,True,True,False,8,2
bird,water bird,"['owl', 'finch']",duck,duck,shared,yes,yes,True,True,True,False,8,3
bird,water bird,"['magpie', 'hummingbird']",swan,swan,shared,yes,yes,True,True,True,False,8,4
body of water,natural landform,"['pond', 'stream']",lake,lake,shared,yes,yes,True,True,True,False,9,0
body of water,natural landform,"['atlantic ocean', 'swamp']",mountain,mountain,q2_only,no,no,True,True,False,True,9,1
body of water,natural landform,"['pacific ocean', 'reservoir']",mountain,mountain,q2_only,no,no,True,True,False,True,9,2
body of water,natural landform,"['swimming pool', 'atlantic ocean']",lake,lake,shared,yes,yes,True,True,True,False,9,3
body of water,natural landform,"['canal', 'ocean']",river,river,shared,yes,yes,True,True,True,False,9,4
building,human dwelling,"['tower', 'university']",house,house,shared,yes,yes,True,True,True,False,10,0
building,human dwelling,"['detached', 'church']",house,house,shared,yes,yes,True,True,True,False,10,1
building,human dwelling,"['tower', 'bungalow']",house,house,shared,yes,yes,True,True,True,False,10,2
building,human dwelling,"['semi-detached', 'school']",house,house,shared,yes,yes,True,True,True,False,10,3
building,human dwelling,"['school', 'cathedral']",house,house,shared,yes,yes,True,True,True,False,10,4
building,religious building,"['apartment block', 'cathedral']",mosque,mosque,shared,yes,yes,True,True,True,False,11,0
building,religious building,"[""doctor's"", 'dentist']",church,church,shared,yes,yes,True,True,True,False,11,1
building,religious building,"['shed', 'train station']",church,church,shared,yes,yes,True,True,True,False,11,2
building,religious building,"['post office', 'apartment block']",church,church,shared,yes,yes,True,True,True,False,11,3
building,religious building,"['school', 'house']",church,church,shared,yes,yes,True,True,True,False,11,4
building material,carpenter's tool,"['stone', 'hammer']",saw,saw,q2_only,no,no,True,True,False,True,12,0
building material,carpenter's tool,"['metal', 'glass']",hammer,hammer,shared,no,no,True,False,False,True,12,1
building material,carpenter's tool,"['bamboo', 'metal']",hammer,hammer,shared,no,no,True,False,False,True,12,2
building material,carpenter's tool,"['insulation', 'bricks']",hammer,hammer,shared,no,no,True,False,False,True,12,3
building material,carpenter's tool,"['timber', 'metal']",hammer,hammer,shared,no,no,True,False,False,True,12,4
building material,part of a building,"['plastic', 'steel']",brick,brick,invalid,yes,yes,True,False,True,False,13,0
building material,part of a building,"['plastic', 'tiles']",brick,brick,invalid,yes,yes,True,False,True,False,13,1
building material,part of a building,"['insulation', 'blocks']",wall,wall,q2_only,yes,yes,True,False,True,False,13,2
building material,part of a building,"['tiles', 'wood']",brick,brick,invalid,yes,yes,True,False,True,False,13,3
building material,part of a building,"['cement', 'plaster']",brick,brick,invalid,yes,yes,True,False,True,False,13,4
building material,tool,"['plaster', 'bricks']",hammer,hammer,shared,no,no,True,False,False,True,14,0
building material,tool,"['concrete', 'cement']",hammer,hammer,shared,no,no,True,False,False,True,14,1
building material,tool,"['mortar', 'wood']",hammer,hammer,shared,no,no,True,False,False,True,14,2
building material,tool,"['hammer', 'mortar']",saw,saw,q2_only,no,no,True,True,False,True,14,3
building material,tool,"['plaster', 'mortar']",hammer,hammer,shared,no,no,True,False,False,True,14,4
carpenter's tool,gardening tool,"['screws', 'spanner']",hammer,hammer,invalid,yes,yes,True,False,True,False,15,0
carpenter's tool,gardening tool,"['drill', 'spirit level']",pruner,pruner,invalid,no,no,True,True,False,True,15,1
carpenter's tool,gardening tool,"['file', 'screws']",pruning shears,pruning shears,invalid,no,no,True,True,False,True,15,2
carpenter's tool,gardening tool,"['tape measure', 'pliers']",pruning shears,pruning shears,invalid,no,no,True,True,False,True,15,3
carpenter's tool,gardening tool,"['tape measure', 'spirit level']",tape,tape,invalid,no,no,True,True,False,True,15,4
carpenter's tool,tool,"['wood', 'screwdriver']",hammer,hammer,shared,yes,yes,True,True,True,False,16,0
carpenter's tool,tool,"['chisel', 'screws']",hammer,hammer,shared,yes,yes,True,True,True,False,16,1
carpenter's tool,tool,"['spirit level', 'tape measure']",screwdriver,screwdriver,shared,yes,yes,True,True,True,False,16,2
carpenter's tool,tool,"['spanner', 'screws']",hammer,hammer,shared,yes,yes,True,True,True,False,16,3
carpenter's tool,tool,"['file', 'screwdriver']",saw,saw,shared,yes,yes,True,True,True,False,16,4
carpenter's tool,weapon,"['pliers', 'chainsaw']",sword,sword,q2_only,no,no,True,True,False,True,17,0
carpenter's tool,weapon,"['chainsaw', 'hammer']",axe,axe,q2_only,yes,yes,True,False,True,False,17,1
carpenter's tool,weapon,"['screwdriver', 'spirit level']",hammer,hammer,shared,yes,yes,True,True,True,False,17,2
carpenter's tool,weapon,"['ruler', 'saw']",sword,sword,q2_only,no,no,True,True,False,True,17,3
carpenter's tool,weapon,"['ruler', 'hammer']",axe,axe,q2_only,yes,yes,True,False,True,False,17,4
chemical element,metal,"['lithium', 'helium']",gold,gold,shared,no,no,True,False,False,True,18,0
chemical element,metal,"['caesium', 'oxygen']",gold,gold,shared,no,no,True,False,False,True,18,1
chemical element,metal,"['tin', 'zinc']",steel,steel,q2_only,no,no,True,True,False,True,18,2
chemical element,metal,"['silver', 'nickel']",steel,steel,q2_only,no,no,True,True,False,True,18,3
chemical element,metal,"['caesium', 'iron']",aluminium,aluminium,shared,yes,yes,True,True,True,False,18,4
colour,hair colour,"['burgundy', 'red']",auburn,auburn,q2_only,yes,yes,True,False,True,False,19,0
colour,hair colour,"['black', 'gold']",brown,brown,shared,yes,yes,True,True,True,False,19,1
colour,hair colour,"['amber', 'brown']",auburn,auburn,q2_only,yes,yes,True,False,True,False,19,2
colour,hair colour,"['amber', 'teal']",auburn,auburn,q2_only,yes,yes,True,False,True,False,19,3
colour,hair colour,"['orange', 'maroon']",bronze,bronze,invalid,no,no,True,True,False,True,19,4
colour,metal,"['navy', 'turquoise']",bronze,bronze,q2_only,no,no,True,True,False,True,20,0
colour,metal,"['indigo', 'amber']",silver,silver,shared,yes,yes,True,True,True,False,20,1
colour,metal,"['black', 'beige']",bronze,bronze,q2_only,no,no,True,True,False,True,20,2
colour,metal,"['silver', 'teal']",bronze,bronze,q2_only,no,no,True,True,False,True,20,3
colour,metal,"['orange', 'amber']",gold,gold,shared,yes,yes,True,True,True,False,20,4
farm animal,four-legged animal,"['cow', 'sheep']",dog,dog,shared,no,no,True,False,False,True,21,0
farm animal,four-legged animal,"['dog', 'lamb']",sheep,sheep,shared,yes,yes,True,True,True,False,21,1
farm animal,four-legged animal,"['pig', 'hen']",dog,dog,shared,no,no,True,False,False,True,21,2
farm animal,four-legged animal,"['cat', 'duck']",dog,dog,shared,no,no,True,False,False,True,21,3
farm animal,four-legged animal,"['donkey', 'lamb']",sheep,sheep,shared,yes,yes,True,True,True,False,21,4
farm animal,meat,"['chicken', 'hen']",turkey,turkey,shared,yes,yes,True,True,True,False,22,0
farm animal,meat,"['horse', 'hen']",chicken,chicken,shared,yes,yes,True,True,True,False,22,1
farm animal,meat,"['llama', 'turkey']",pork,pork,q2_only,no,no,True,True,False,True,22,2
farm animal,meat,"['hen', 'llama']",turkey,turkey,shared,yes,yes,True,True,True,False,22,3
farm animal,meat,"['cat', 'hen']",chicken,chicken,shared,yes,yes,True,True,True,False,22,4
four-legged animal,meat,"['bison', 'mouse']",turkey,turkey,q2_only,no,no,True,True,False,True,23,0
four-legged animal,meat,"['deer', 'leopard']",cheetah,cheetah,invalid,yes,yes,True,False,True,False,23,1
four-legged animal,meat,"['elephant', 'fox']",bacon,bacon,q2_only,no,no,True,True,False,True,23,2
four-legged animal,meat,"['mouse', 'deer']",rabbit,rabbit,shared,yes,yes,True,True,True,False,23,3
four-legged animal,meat,"['wolf', 'rhino']",rabbit,rabbit,shared,yes,yes,True,True,True,False,23,4
four-legged animal,rodent,"['gazelle', 'wolf']",rabbit,rabbit,shared,yes,yes,True,True,True,False,24,0
four-legged animal,rodent,"['monkey', 'polar bear']",rat,rat,shared,no,no,True,False,False,True,24,1
four-legged animal,rodent,"['gazelle', 'horse']",rabbit,rabbit,shared,yes,yes,True,True,True,False,24,2
four-legged animal,rodent,"['donkey', 'gazelle']",rat,rat,shared,no,no,True,False,False,True,24,3
four-legged animal,rodent,"['crocodile', 'reindeer']",rat,rat,shared,no,no,True,False,False,True,24,4
four-wheeled vehicle,vehicle,"['bike with stabilisers', 'jeep']",bicycle,bicycle,q2_only,no,no,True,True,False,True,25,0
four-wheeled vehicle,vehicle,"['jeep', 'bike with stabilisers']",bicycle,bicycle,q2_only,no,no,True,True,False,True,25,1
four-wheeled vehicle,vehicle,"['plane', 'coach']",boat,boat,q2_only,no,no,True,True,False,True,25,2
four-wheeled vehicle,vehicle,"['lorry', 'tractor']",truck,truck,shared,yes,yes,True,True,True,False,25,3
four-wheeled vehicle,vehicle,"['lorry', 'quad bike']",pickup truck,pickup truck,invalid,yes,yes,True,False,True,False,25,4
furniture,living room furniture,"['cupboard', 'chair']",dresser,dresser,invalid,yes,yes,True,False,True,False,26,0
furniture,living room furniture,"['shelves', 'bookcase']",wardrobe,wardrobe,invalid,yes,yes,True,False,True,False,26,1
furniture,living room furniture,"['bookcase', 'fridge']",cabinet,cabinet,invalid,yes,yes,True,False,True,False,26,2
furniture,living room furniture,"['chair', 'sofa']",wardrobe,wardrobe,invalid,yes,yes,True,False,True,False,26,3
furniture,living room furniture,"['dining table', 'stool']",dresser,dresser,invalid,yes,yes,True,False,True,False,26,4
gardening tool,tool,"['chainsaw', 'strimmer']",saw,saw,shared,no,no,True,False,False,True,27,0
gardening tool,tool,"['gardening gloves', 'strimmer']",saw,saw,shared,no,no,True,False,False,True,27,1
gardening tool,tool,"['rake', 'pesticides']",hammer,hammer,q2_only,no,no,True,True,False,True,27,2
gardening tool,tool,"['shovel', 'spade']",hammer,hammer,q2_only,no,no,True,True,False,True,27,3
gardening tool,tool,"['bucket', 'hoe']",screwdriver,screwdriver,q2_only,no,no,True,True,False,True,27,4
green vegetable,vegetable,"['cucumber', 'cabbage']",cucumber,cucumber,shared,yes,yes,True,True,True,False,28,0
green vegetable,vegetable,"['leek', 'kale']",onion,onion,q2_only,no,no,True,True,False,True,28,1
green vegetable,vegetable,"['mange tout', 'spinach']",fennel,fennel,invalid,no,no,True,True,False,True,28,2
green vegetable,vegetable,"['cucumber', 'spinach']",cucumber,cucumber,shared,yes,yes,True,True,True,False,28,3
green vegetable,vegetable,"['celery', 'cucumber']",cucumber,cucumber,shared,yes,yes,True,True,True,False,28,4
herb,spice,"['oregano', 'cinnamon']",thyme,thyme,invalid,yes,yes,True,False,True,False,29,0
herb,spice,"['dill', 'garlic']",ginger,ginger,q2_only,yes,yes,True,False,True,False,29,1
herb,spice,"['oregano', 'fennel']",thyme,thyme,invalid,yes,yes,True,False,True,False,29,2
herb,spice,"['thyme', 'coriander']",cilantro,cilantro,invalid,yes,yes,True,False,True,False,29,3
herb,spice,"['garlic', 'pepper']",ginger,ginger,q2_only,yes,yes,True,False,True,False,29,4
insect,stinging insect,"['dung beetle', 'fly']",hornet,hornet,q2_only,yes,yes,True,False,True,False,30,0
insect,stinging insect,"['millipede', 'ladybird']",ant,ant,invalid,yes,yes,True,False,True,False,30,1
insect,stinging insect,"['earwig', 'bumblebee']",hornet,hornet,q2_only,yes,yes,True,False,True,False,30,2
insect,stinging insect,"['worm', 'butterfly']",bee,bee,shared,yes,yes,True,True,True,False,30,3
insect,stinging insect,"['stick insect', 'housefly']",wasp,wasp,shared,yes,yes,True,True,True,False,30,4
kitchen appliance,kitchen utensil,"['toastie maker', 'plate']",spatula,spatula,shared,yes,yes,True,True,True,False,31,0
kitchen appliance,kitchen utensil,"['spoon', 'colander']",spatula,spatula,shared,yes,yes,True,True,True,False,31,1
kitchen appliance,kitchen utensil,"['plate', 'food processor']",knife,knife,shared,no,no,True,False,False,True,31,2
kitchen appliance,kitchen utensil,"['mixer', 'smoothie maker']",blender,blender,shared,yes,yes,True,True,True,False,31,3
kitchen appliance,kitchen utensil,"['dishwasher', 'knife']",spatula,spatula,shared,yes,yes,True,True,True,False,31,4
musical instrument,string instrument,"['double bass', 'percussion']",violin,violin,shared,yes,yes,True,True,True,False,32,0
musical instrument,string instrument,"['saxophone', 'electric guitar']",violin,violin,shared,yes,yes,True,True,True,False,32,1
musical instrument,string instrument,"['violin', 'bass']",viola,viola,shared,yes,yes,True,True,True,False,32,2
musical instrument,string instrument,"['voice', 'clarinet']",violin,violin,shared,yes,yes,True,True,True,False,32,3
musical instrument,string instrument,"['drums', 'cello']",violin,violin,shared,yes,yes,True,True,True,False,32,4
part of a building,room in a house,"['roof', 'entrance']",kitchen,kitchen,q2_only,no,no,True,True,False,True,33,0
part of a building,room in a house,"['rooms', 'elevators']",hall,hall,invalid,yes,yes,True,False,True,False,33,1
part of a building,room in a house,"['outer wall', 'rooms']",kitchen,kitchen,q2_only,no,no,True,True,False,True,33,2
part of a building,room in a house,"['entrance', 'mortar']",kitchen,kitchen,q2_only,no,no,True,True,False,True,33,3
part of a building,room in a house,"['beams', 'corridor']",kitchen,kitchen,q2_only,no,no,True,True,False,True,33,4
part of the body,part of the face,"['torso', 'nose']",eye,eye,invalid,yes,yes,True,False,True,False,34,0
part of the body,part of the face,"['knees', 'heart']",eye,eye,invalid,yes,yes,True,False,True,False,34,1
part of the body,part of the face,"['nose', 'blood']",eye,eye,invalid,yes,yes,True,False,True,False,34,2
part of the body,part of the face,"['waist', 'fingers']",toes,toes,invalid,yes,yes,True,False,True,False,34,3
part of the body,part of the face,"['knees', 'elbows']",elbows,elbows,invalid,yes,yes,True,False,True,False,34,4
tool,weapon,"['wrench', 'pliers']",hammer,hammer,shared,yes,yes,True,True,True,False,35,0
tool,weapon,"['hammer', 'pen']",axe,axe,shared,yes,yes,True,True,True,False,35,1
tool,weapon,"['spanner', 'chisel']",hammer,hammer,shared,yes,yes,True,True,True,False,35,2
tool,weapon,"['screwdriver', 'shovel']",hammer,hammer,shared,yes,yes,True,True,True,False,35,3
tool,weapon,"['pen', 'pliers']",knife,knife,shared,yes,yes,True,True,True,False,35,4
deciduous tree,fruit tree,"['hickory', 'plum']",pear,pear,shared,no,no,True,False,False,True,36,0
deciduous tree,fruit tree,"['elm', 'birch']",maple,maple,invalid,yes,yes,True,False,True,False,36,1
deciduous tree,fruit tree,"['apple', 'plum']",pear,pear,shared,no,no,True,False,False,True,36,2
deciduous tree,fruit tree,"['birch', 'maple']",apple,apple,shared,no,no,True,False,False,True,36,3
deciduous tree,fruit tree,"['willow', 'pear']",almond,almond,invalid,no,no,True,True,False,True,36,4
wild cat,jungle animal,"['cheetah', 'caracal']",leopard,leopard,shared,yes,yes,True,True,True,False,37,0
wild cat,jungle animal,"['bobcat', 'puma']",leopard,leopard,shared,yes,yes,True,True,True,False,37,1
wild cat,jungle animal,"['cougar', 'margay']",tiger,tiger,shared,yes,yes,True,True,True,False,37,2
wild cat,jungle animal,"['jaguar', 'snow leopard']",leopard,leopard,shared,yes,yes,True,True,True,False,37,3
wild cat,jungle animal,"['lynx', 'puma']",lion,lion,invalid,yes,yes,True,False,True,False,37,4
bathroom item,cleaning supply,"['soap', 'towel']",sponge,sponge,shared,yes,yes,True,True,True,False,38,0
bathroom item,cleaning supply,"['bath mat', 'toothpaste']",sponge,sponge,shared,yes,yes,True,True,True,False,38,1
bathroom item,cleaning supply,"['towel', 'toothbrush']",sponge,sponge,shared,yes,yes,True,True,True,False,38,2
bathroom item,cleaning supply,"['shower curtain', 'toilet paper']",broom,broom,q2_only,no,no,True,True,False,True,38,3
bathroom item,cleaning supply,"['sponge', 'plunger']",broom,broom,q2_only,no,no,True,True,False,True,38,4
school supply,art supply,"['stapler', 'glue']",scissors,scissors,shared,yes,yes,True,True,True,False,39,0
school supply,art supply,"['textbook', 'stapler']",painting,painting,invalid,no,no,True,True,False,True,39,1
school supply,art supply,"['folder', 'binder']",painting,painting,invalid,no,no,True,True,False,True,39,2
school supply,art supply,"['folder', 'textbook']",painting,painting,invalid,no,no,True,True,False,True,39,3
school supply,art supply,"['stapler', 'scissors']",scissors,scissors,shared,yes,yes,True,True,True,False,39,4
board game,strategy game,"['candyland', 'operation']",clue,clue,invalid,no,no,True,True,False,True,40,0
board game,strategy game,"['ticket to ride', 'candyland']",clueω2,clueω2,invalid,no,no,True,True,False,True,40,1
board game,strategy game,"['pandemic', 'monopoly']",chess,chess,shared,yes,yes,True,True,True,False,40,2
board game,strategy game,"['boggle', 'checkers']",chess,chess,shared,yes,yes,True,True,True,False,40,3
board game,strategy game,"['boggle', 'operation']",chess,chess,shared,yes,yes,True,True,True,False,40,4
root vegetable,soup ingredient,"['ginger', 'parsnip']",carrot,carrot,shared,yes,yes,True,True,True,False,41,0
root vegetable,soup ingredient,"['carrot', 'potato']",celery,celery,q2_only,no,no,True,True,False,True,41,1
root vegetable,soup ingredient,"['garlic', 'yam']",onion,onion,shared,no,no,True,False,False,True,41,2
root vegetable,soup ingredient,"['taro', 'celeriac']",potato,potato,shared,yes,yes,True,True,True,False,41,3
root vegetable,soup ingredient,"['ginger', 'celeriac']",celery,celery,q2_only,no,no,True,True,False,True,41,4
percussion instrument,marching band instrument,"['triangle', 'conga']",trumpet,trumpet,q2_only,no,no,True,True,False,True,42,0
percussion instrument,marching band instrument,"['timpani', 'cajon']",drum,drum,invalid,yes,yes,True,False,True,False,42,1
percussion instrument,marching band instrument,"['tambourine', 'bass drum']",triangle,triangle,invalid,yes,yes,True,False,True,False,42,2
percussion instrument,marching band instrument,"['tambourine', 'bongo']",triangle,triangle,invalid,yes,yes,True,False,True,False,42,3
percussion instrument,marching band instrument,"['conga', 'bongo']",trombone,trombone,q2_only,no,no,True,True,False,True,42,4
building material,natural resource,"['stone', 'steel']",coal,coal,q2_only,no,no,True,True,False,True,43,0
building material,natural resource,"['sand', 'brick']",rock,rock,invalid,yes,yes,True,False,True,False,43,1
building material,natural resource,"['glass', 'brick']",coal,coal,q2_only,no,no,True,True,False,True,43,2
building material,natural resource,"['clay', 'fiberglass']",stone,stone,shared,yes,yes,True,True,True,False,43,3
building material,natural resource,"['fiberglass', 'insulation']",wood,wood,shared,yes,yes,True,True,True,False,43,4
weapon,hunting gear,"['dagger', 'bow']",knife,knife,shared,yes,yes,True,True,True,False,44,0
weapon,hunting gear,"['sword', 'machine gun']",bow,bow,shared,yes,yes,True,True,True,False,44,1
weapon,hunting gear,"['shotgun', 'grenade']",bow,bow,shared,yes,yes,True,True,True,False,44,2
weapon,hunting gear,"['dagger', 'mace']",bow,bow,shared,yes,yes,True,True,True,False,44,3
weapon,hunting gear,"['crossbow', 'rifle']",bow,bow,shared,yes,yes,True,True,True,False,44,4
livestock,pack animal,"['quail', 'donkey']",camel,camel,q2_only,yes,yes,True,False,True,False,45,0
livestock,pack animal,"['alpaca', 'sheep']",donkey,donkey,shared,yes,yes,True,True,True,False,45,1
livestock,pack animal,"['chicken', 'goat']",camel,camel,q2_only,yes,yes,True,False,True,False,45,2
livestock,pack animal,"['goat', 'pig']",donkey,donkey,shared,yes,yes,True,True,True,False,45,3
livestock,pack animal,"['buffalo', 'sheep']",camel,camel,q2_only,yes,yes,True,False,True,False,45,4
flower,wedding item,"['violet', 'sunflower']",ring,ring,q2_only,no,no,True,True,False,True,46,0
flower,wedding item,"['dandelion', 'violet']",ring,ring,q2_only,no,no,True,True,False,True,46,1
flower,wedding item,"['rose', 'tulip']",roses,roses,invalid,yes,yes,True,False,True,False,46,2
flower,wedding item,"['lotus', 'violet']",ring,ring,q2_only,no,no,True,True,False,True,46,3
flower,wedding item,"['carnation', 'violet']",roses,roses,invalid,yes,yes,True,False,True,False,46,4
beach item,summer clothing,"['seashell', 'sun hat']",trousers,trousers,invalid,no,no,True,True,False,True,47,0
beach item,summer clothing,"['surfboard', 'umbrella']",swimsuit,swimsuit,shared,yes,yes,True,True,True,False,47,1
beach item,summer clothing,"['sun hat', 'bucket']",sunglasses,sunglasses,shared,yes,yes,True,True,True,False,47,2
beach item,summer clothing,"['frisbee', 'umbrella']",hat,hat,invalid,yes,yes,True,False,True,False,47,3
beach item,summer clothing,"['swimsuit', 'sunscreen']",trousers,trousers,invalid,no,no,True,True,False,True,47,4
vehicle,military equipment,"['submarine', 'bus']",tank,tank,shared,yes,yes,True,True,True,False,48,0
vehicle,military equipment,"['boat', 'tank']",ship,ship,invalid,no,no,True,True,False,True,48,1
vehicle,military equipment,"['jet', 'car']",tank,tank,shared,yes,yes,True,True,True,False,48,2
vehicle,military equipment,"['jet', 'jeep']",tank,tank,shared,yes,yes,True,True,True,False,48,3
vehicle,military equipment,"['sailboat', 'van']",tank,tank,shared,yes,yes,True,True,True,False,48,4
sweet treat,halloween item,"['cupcake', 'cookie']",candy,candy,shared,yes,yes,True,True,True,False,49,0
sweet treat,halloween item,"['candy', 'brownie']",candy,candy,shared,yes,yes,True,True,True,False,49,1
sweet treat,halloween item,"['chocolate', 'gummy bear']",candy,candy,shared,yes,yes,True,True,True,False,49,2
sweet treat,halloween item,"['donut', 'macaron']",candy,candy,shared,yes,yes,True,True,True,False,49,3
sweet treat,halloween item,"['macaron', 'caramel apple']",candy,candy,shared,yes,yes,True,True,True,False,49,4
country in asia,island nation,"['taiwan', 'iran']",palestinian territory,palestinian territory,invalid,no,no,True,True,False,True,50,0
country in asia,island nation,"['japan', 'maldives']",singapore,singapore,shared,no,no,True,False,False,True,50,1
country in asia,island nation,"['taiwan', 'nepal']",singapore,singapore,shared,no,no,True,False,False,True,50,2
country in asia,island nation,"['singapore', 'indonesia']",maldives,maldives,shared,yes,yes,True,True,True,False,50,3
country in asia,island nation,"['sri lanka', 'india']",bali,bali,invalid,no,no,True,True,False,True,50,4
rodent,house pest,"['hamster', 'gerbil']",rodent,rodent,invalid,yes,yes,True,False,True,False,51,0
rodent,house pest,"['beaver', 'squirrel']",rat,rat,shared,yes,yes,True,True,True,False,51,1
rodent,house pest,"['hamster', 'groundhog']",rat,rat,shared,yes,yes,True,True,True,False,51,2
rodent,house pest,"['capybara', 'hamster']",rodent,rodent,invalid,yes,yes,True,False,True,False,51,3
rodent,house pest,"['capybara', 'groundhog']",rat,rat,shared,yes,yes,True,True,True,False,51,4
pizza topping,dairy product,"['bacon', 'pepperoni']",cheese,cheese,shared,yes,yes,True,True,True,False,52,0
pizza topping,dairy product,"['onion', 'pineapple']",cheese,cheese,shared,yes,yes,True,True,True,False,52,1
pizza topping,dairy product,"['pepperoni', 'ricotta']",cheese,cheese,shared,yes,yes,True,True,True,False,52,2
pizza topping,dairy product,"['mushroom', 'pineapple']",cheese,cheese,shared,yes,yes,True,True,True,False,52,3
pizza topping,dairy product,"['onion', 'mozzarella']",cheese,cheese,shared,yes,yes,True,True,True,False,52,4
water sport,extreme sport,"['kayaking', 'snorkeling']",paragliding,paragliding,q2_only,no,no,True,True,False,True,53,0
water sport,extreme sport,"['paddleboarding', 'fishing']",surfing,surfing,shared,yes,yes,True,True,True,False,53,1
water sport,extreme sport,"['surfing', 'diving']",surfing,surfing,shared,yes,yes,True,True,True,False,53,2
water sport,extreme sport,"['fishing', 'rowing']",surfing,surfing,shared,yes,yes,True,True,True,False,53,3
water sport,extreme sport,"['kayaking', 'water polo']",surfing,surfing,shared,yes,yes,True,True,True,False,53,4
mythological creature,movie monster,"['mummy', 'kraken']",ghoul,ghoul,invalid,yes,yes,True,False,True,False,54,0
