q1,q2,q1_example_answers,generated_impostor_answer,generated_impostor_raw,judge_choice,judge_raw_output,judge_valid_output,blended_in,caught,pair_index,round_num
bird,farm animal,"['dove', 'swallow']",chicken,chicken,no,no,True,False,True,6,3
bird,farm animal,"['robin', 'vulture']",chicken,chicken,no,no,True,False,True,6,4
bird,meat,"['great tit', 'blackbird']",duck,duck,yes,yes,True,True,False,7,0
bird,meat,"['eagle', 'blackbird']",duck,duck,yes,yes,True,True,False,7,1
bird,meat,"['woodpecker', 'ostrich']",ham,ham,no,no,True,False,True,7,2
bird,meat,"['eagle', 'hawk']",turkey,turkey,yes,yes,True,True,False,7,3
bird,meat,"['canary', 'swallow']",duck,duck,yes,yes,True,True,False,7,4
bird,water bird,"['eagle', 'blackbird']",swan,swan,yes,yes,True,True,False,8,0
bird,water bird,"['swallow', 'pigeon']",duck,duck,yes,yes,True,True,False,8,1
bird,water bird,"['crow', 'hawk']",duck,duck,yes,yes,True,True,False,8,2
bird,water bird,"['owl', 'finch']",swan,swan,yes,yes,True,True,False,8,3
bird,water bird,"['magpie', 'hummingbird']",swan,swan,yes,yes,True,True,False,8,4
body of water,natural landform,"['pond', 'stream']",cliff,cliff,no,no,True,False,True,9,0
body of water,natural landform,"['atlantic ocean', 'swamp']",mountain,mountain,no,no,True,False,True,9,1
body of water,natural landform,"['pacific ocean', 'reservoir']",hill,hill,no,no,True,False,True,9,2
body of water,natural landform,"['swimming pool', 'atlantic ocean']",hill,hill,no,no,True,False,True,9,3
body of water,natural landform,"['canal', 'ocean']",mountain,mountain,no,no,True,False,True,9,4
building,human dwelling,"['tower', 'university']",house,house,yes,yes,True,True,False,10,0
building,human dwelling,"['detached', 'church']",house,house,yes,yes,True,True,False,10,1
building,human dwelling,"['tower', 'bungalow']",cabin,cabin,no,no,True,False,True,10,2
building,human dwelling,"['semi-detached', 'school']",house,house,yes,yes,True,True,False,10,3
building,human dwelling,"['school', 'cathedral']",house,house,yes,yes,True,True,False,10,4
building,religious building,"['apartment block', 'cathedral']",church,church,yes,yes,True,True,False,11,0
building,religious building,"[""doctor's"", 'dentist']",church,church,yes,yes,True,True,False,11,1
building,religious building,"['shed', 'train station']",church,church,yes,yes,True,True,False,11,2
building,religious building,"['post office', 'apartment block']",church,church,yes,yes,True,True,False,11,3
building,religious building,"['school', 'house']",church,church,yes,yes,True,True,False,11,4
building material,carpenter's tool,"['stone', 'hammer']",hammer,hammer,no,no,True,False,True,12,0
building material,carpenter's tool,"['metal', 'glass']",hammer,hammer,no,no,True,False,True,12,1
building material,carpenter's tool,"['bamboo', 'metal']",hammer,hammer,no,no,True,False,True,12,2
building material,carpenter's tool,"['insulation', 'bricks']",hammer,hammer,no,no,True,False,True,12,3
building material,carpenter's tool,"['timber', 'metal']",hammer,hammer,no,no,True,False,True,12,4
building material,part of a building,"['plastic', 'steel']",wall,wall,no,no,True,False,True,13,0
building material,part of a building,"['plastic', 'tiles']",ceiling,ceiling,no,no,True,False,True,13,1
building material,part of a building,"['insulation', 'blocks']",wall,wall,no,no,True,False,True,13,2
building material,part of a building,"['tiles', 'wood']",roof,roof,no,no,True,False,True,13,3
building material,part of a building,"['cement', 'plaster']",wall,wall,no,no,True,False,True,13,4
building material,tool,"['plaster', 'bricks']",hammer,hammer,no,no,True,False,True,14,0
building material,tool,"['concrete', 'cement']",hammer,hammer,no,no,True,False,True,14,1
building material,tool,"['mortar', 'wood']",hammer,hammer,no,no,True,False,True,14,2
building material,tool,"['hammer', 'mortar']",chisel,chisel,no,no,True,False,True,14,3
building material,tool,"['plaster', 'mortar']",hammer,hammer,no,no,True,False,True,14,4
carpenter's tool,gardening tool,"['screws', 'spanner']",pruners,pruners,no,no,True,False,True,15,0
carpenter's tool,gardening tool,"['drill', 'spirit level']",pruner,pruner,no,no,True,False,True,15,1
carpenter's tool,gardening tool,"['file', 'screws']",pruner,pruner,no,no,True,False,True,15,2
carpenter's tool,gardening tool,"['tape measure', 'pliers']",pruning shears,pruning shears,no,no,True,False,True,15,3
carpenter's tool,gardening tool,"['tape measure', 'spirit level']",pruning shears,pruning shears,no,no,True,False,True,15,4
carpenter's tool,tool,"['wood', 'screwdriver']",hammer,hammer,yes,yes,True,True,False,16,0
carpenter's tool,tool,"['chisel', 'screws']",hammer,hammer,yes,yes,True,True,False,16,1
carpenter's tool,tool,"['spirit level', 'tape measure']",hammer,hammer,yes,yes,True,True,False,16,2
carpenter's tool,tool,"['spanner', 'screws']",hammer,hammer,yes,yes,True,True,False,16,3
carpenter's tool,tool,"['file', 'screwdriver']",hammer,hammer,yes,yes,True,True,False,16,4
carpenter's tool,weapon,"['pliers', 'chainsaw']",axe,axe,yes,yes,True,True,False,17,0
carpenter's tool,weapon,"['chainsaw', 'hammer']",sword,sword,no,no,True,False,True,17,1
carpenter's tool,weapon,"['screwdriver', 'spirit level']",sword,sword,no,no,True,False,True,17,2
carpenter's tool,weapon,"['ruler', 'saw']",sword,sword,no,no,True,False,True,17,3
carpenter's tool,weapon,"['ruler', 'hammer']",sword,sword,no,no,True,False,True,17,4
chemical element,metal,"['lithium', 'helium']",steel,steel,no,no,True,False,True,18,0
chemical element,metal,"['caesium', 'oxygen']",iron,iron,yes,yes,True,True,False,18,1
chemical element,metal,"['tin', 'zinc']",steel,steel,no,no,True,False,True,18,2
chemical element,metal,"['silver', 'nickel']",steel,steel,no,no,True,False,True,18,3
chemical element,metal,"['caesium', 'iron']",steel,steel,no,no,True,False,True,18,4
colour,hair colour,"['burgundy', 'red']",auburn,auburn,yes,yes,True,True,False,19,0
colour,hair colour,"['black', 'gold']",brown,brown,yes,yes,True,True,False,19,1
colour,hair colour,"['amber', 'brown']",auburn,auburn,yes,yes,True,True,False,19,2
colour,hair colour,"['amber', 'teal']",auburn,auburn,yes,yes,True,True,False,19,3
colour,hair colour,"['orange', 'maroon']",auburn,auburn,yes,yes,True,True,False,19,4
colour,metal,"['navy', 'turquoise']",iron,iron,no,no,True,False,True,20,0
colour,metal,"['indigo', 'amber']",gold,gold,yes,yes,True,True,False,20,1
colour,metal,"['black', 'beige']",steel,steel,no,no,True,False,True,20,2
colour,metal,"['silver', 'teal']",iron,iron,no,no,True,False,True,20,3
colour,metal,"['orange', 'amber']",bronze,bronze,no,no,True,False,True,20,4
farm animal,four-legged animal,"['cow', 'sheep']",dog,dog,no,no,True,False,True,21,0
farm animal,four-legged animal,"['dog', 'lamb']",sheep,sheep,yes,yes,True,True,False,21,1
farm animal,four-legged animal,"['pig', 'hen']",dog,dog,no,no,True,False,True,21,2
farm animal,four-legged animal,"['cat', 'duck']",dog,dog,no,no,True,False,True,21,3
farm animal,four-legged animal,"['donkey', 'lamb']",dog,dog,no,no,True,False,True,21,4
farm animal,meat,"['chicken', 'hen']",bacon,bacon,no,no,True,False,True,22,0
farm animal,meat,"['horse', 'hen']",lamb,lamb,yes,yes,True,True,False,22,1
farm animal,meat,"['llama', 'turkey']",tongue,tongue,no,no,True,False,True,22,2
farm animal,meat,"['hen', 'llama']",lamb,lamb,yes,yes,True,True,False,22,3
farm animal,meat,"['cat', 'hen']",beef,beef,no,no,True,False,True,22,4
four-legged animal,meat,"['bison', 'mouse']",ham,ham,no,no,True,False,True,23,0
four-legged animal,meat,"['deer', 'leopard']",tuna,tuna,no,no,True,False,True,23,1
four-legged animal,meat,"['elephant', 'fox']",bacon,bacon,no,no,True,False,True,23,2
four-legged animal,meat,"['mouse', 'deer']",mutton,mutton,no,no,True,False,True,23,3
four-legged animal,meat,"['wolf', 'rhino']",cheese,cheese,no,no,True,False,True,23,4
four-legged animal,rodent,"['gazelle', 'wolf']",mouse,mouse,no,no,True,False,True,24,0
four-legged animal,rodent,"['monkey', 'polar bear']",mouse,mouse,no,no,True,False,True,24,1
four-legged animal,rodent,"['gazelle', 'horse']",rat,rat,no,no,True,False,True,24,2
four-legged animal,rodent,"['donkey', 'gazelle']",rat,rat,no,no,True,False,True,24,3
four-legged animal,rodent,"['crocodile', 'reindeer']",mouse,mouse,no,no,True,False,True,24,4
four-wheeled vehicle,vehicle,"['bike with stabilisers', 'jeep']",motorbike,motorbike,no,no,True,False,True,25,0
four-wheeled vehicle,vehicle,"['jeep', 'bike with stabilisers']",motorbike,motorbike,no,no,True,False,True,25,1
four-wheeled vehicle,vehicle,"['plane', 'coach']",truck,truck,yes,yes,True,True,False,25,2
four-wheeled vehicle,vehicle,"['lorry', 'tractor']",pickup truck,pickup truck,yes,yes,True,True,False,25,3
four-wheeled vehicle,vehicle,"['lorry', 'quad bike']",van,van,yes,yes,True,True,False,25,4
furniture,living room furniture,"['cupboard', 'chair']",wardrobe,wardrobe,yes,yes,True,True,False,26,0
furniture,living room furniture,"['shelves', 'bookcase']",bookshelf,bookshelf,yes,yes,True,True,False,26,1
furniture,living room furniture,"['bookcase', 'fridge']",wardrobe,wardrobe,yes,yes,True,True,False,26,2
furniture,living room furniture,"['chair', 'sofa']",bookshelf,bookshelf,yes,yes,True,True,False,26,3
furniture,living room furniture,"['dining table', 'stool']",bookshelf,bookshelf,yes,yes,True,True,False,26,4
gardening tool,tool,"['chainsaw', 'strimmer']",hammer,hammer,no,no,True,False,True,27,0
gardening tool,tool,"['gardening gloves', 'strimmer']",hammer,hammer,no,no,True,False,True,27,1
gardening tool,tool,"['rake', 'pesticides']",hammer,hammer,no,no,True,False,True,27,2
gardening tool,tool,"['shovel', 'spade']",hammer,hammer,no,no,True,False,True,27,3
gardening tool,tool,"['bucket', 'hoe']",hammer,hammer,no,no,True,False,True,27,4
green vegetable,vegetable,"['cucumber', 'cabbage']",cucumber,cucumber,yes,yes,True,True,False,28,0
green vegetable,vegetable,"['leek', 'kale']",zucchini,zucchini,yes,yes,True,True,False,28,1
green vegetable,vegetable,"['mange tout', 'spinach']",mange tout,mange tout,no,no,True,False,True,28,2
green vegetable,vegetable,"['cucumber', 'spinach']",zucchini,zucchini,yes,yes,True,True,False,28,3
green vegetable,vegetable,"['celery', 'cucumber']",carrot,carrot,no,no,True,False,True,28,4
herb,spice,"['oregano', 'cinnamon']",cayenne,cayenne,no,no,True,False,True,29,0
herb,spice,"['dill', 'garlic']",ginger,ginger,yes,yes,True,True,False,29,1
herb,spice,"['oregano', 'fennel']",thyme,thyme,yes,yes,True,True,False,29,2
herb,spice,"['thyme', 'coriander']",nutmeg,nutmeg,no,no,True,False,True,29,3
herb,spice,"['garlic', 'pepper']",ginger,ginger,yes,yes,True,True,False,29,4
insect,stinging insect,"['dung beetle', 'fly']",hornet,hornet,yes,yes,True,True,False,30,0
insect,stinging insect,"['millipede', 'ladybird']",hornet,hornet,yes,yes,True,True,False,30,1
insect,stinging insect,"['earwig', 'bumblebee']",hornet,hornet,yes,yes,True,True,False,30,2
insect,stinging insect,"['worm', 'butterfly']",hornet,hornet,yes,yes,True,True,False,30,3
insect,stinging insect,"['stick insect', 'housefly']",bee,bee,yes,yes,True,True,False,30,4
kitchen appliance,kitchen utensil,"['toastie maker', 'plate']",spatula,spatula,no,no,True,False,True,31,0
kitchen appliance,kitchen utensil,"['spoon', 'colander']",spatula,spatula,no,no,True,False,True,31,1
kitchen appliance,kitchen utensil,"['plate', 'food processor']",spatula,spatula,no,no,True,False,True,31,2
kitchen appliance,kitchen utensil,"['mixer', 'smoothie maker']",spatula,spatula,no,no,True,False,True,31,3
kitchen appliance,kitchen utensil,"['dishwasher', 'knife']",spatula,spatula,no,no,True,False,True,31,4
musical instrument,string instrument,"['double bass', 'percussion']",violin,violin,yes,yes,True,True,False,32,0
musical instrument,string instrument,"['saxophone', 'electric guitar']",violin,violin,yes,yes,True,True,False,32,1
musical instrument,string instrument,"['violin', 'bass']",cello,cello,yes,yes,True,True,False,32,2
musical instrument,string instrument,"['voice', 'clarinet']",violin,violin,yes,yes,True,True,False,32,3
musical instrument,string instrument,"['drums', 'cello']",violin,violin,yes,yes,True,True,False,32,4
part of a building,room in a house,"['roof', 'entrance']",bathroom,bathroom,yes,yes,True,True,False,33,0
part of a building,room in a house,"['rooms', 'elevators']",bathroom,bathroom,yes,yes,True,True,False,33,1
part of a building,room in a house,"['outer wall', 'rooms']",bedroom,bedroom,yes,yes,True,True,False,33,2
part of a building,room in a house,"['entrance', 'mortar']",kitchen,kitchen,no,no,True,False,True,33,3
part of a building,room in a house,"['beams', 'corridor']",kitchen,kitchen,no,no,True,False,True,33,4
part of the body,part of the face,"['torso', 'nose']",cheek,cheek,yes,yes,True,True,False,34,0
part of the body,part of the face,"['knees', 'heart']",ear,ear,yes,yes,True,True,False,34,1
part of the body,part of the face,"['nose', 'blood']",eye,eye,yes,yes,True,True,False,34,2
part of the body,part of the face,"['waist', 'fingers']",eye,eye,yes,yes,True,True,False,34,3
part of the body,part of the face,"['knees', 'elbows']",nose,nose,yes,yes,True,True,False,34,4
tool,weapon,"['wrench', 'pliers']",spear,spear,no,no,True,False,True,35,0
tool,weapon,"['hammer', 'pen']",sword,sword,no,no,True,False,True,35,1
tool,weapon,"['spanner', 'chisel']",sword,sword,no,no,True,False,True,35,2
tool,weapon,"['screwdriver', 'shovel']",knife,knife,yes,yes,True,True,False,35,3
tool,weapon,"['pen', 'pliers']",knife,knife,yes,yes,True,True,False,35,4
deciduous tree,fruit tree,"['hickory', 'plum']",apple,apple,no,no,True,False,True,36,0
deciduous tree,fruit tree,"['elm', 'birch']",apple,apple,no,no,True,False,True,36,1
deciduous tree,fruit tree,"['apple', 'plum']",cherry,cherry,yes,yes,True,True,False,36,2
deciduous tree,fruit tree,"['birch', 'maple']",pear,pear,no,no,True,False,True,36,3
deciduous tree,fruit tree,"['willow', 'pear']",apple,apple,no,no,True,False,True,36,4
wild cat,jungle animal,"['cheetah', 'caracal']",lion,lion,yes,yes,True,True,False,37,0
wild cat,jungle animal,"['bobcat', 'puma']",jaguar,jaguar,yes,yes,True,True,False,37,1
wild cat,jungle animal,"['cougar', 'margay']",lion,lion,yes,yes,True,True,False,37,2
wild cat,jungle animal,"['jaguar', 'snow leopard']",lion,lion,yes,yes,True,True,False,37,3
wild cat,jungle animal,"['lynx', 'puma']",tiger,tiger,yes,yes,True,True,False,37,4
bathroom item,cleaning supply,"['soap', 'towel']",mop,mop,no,no,True,False,True,38,0
bathroom item,cleaning supply,"['bath mat', 'toothpaste']",spray,spray,yes,yes,True,True,False,38,1
bathroom item,cleaning supply,"['towel', 'toothbrush']",mop,mop,no,no,True,False,True,38,2
bathroom item,cleaning supply,"['shower curtain', 'toilet paper']",sponge,sponge,yes,yes,True,True,False,38,3
bathroom item,cleaning supply,"['sponge', 'plunger']",mop,mop,no,no,True,False,True,38,4
school supply,art supply,"['stapler', 'glue']",paintbrush,paintbrush,no,no,True,False,True,39,0
school supply,art supply,"['textbook', 'stapler']",paintbrush,paintbrush,no,no,True,False,True,39,1
school supply,art supply,"['folder', 'binder']",painting palette,painting palette,no,no,True,False,True,39,2
school supply,art supply,"['folder', 'textbook']",painting,painting,no,no,True,False,True,39,3
school supply,art supply,"['stapler', 'scissors']",painting palette,painting palette,no,no,True,False,True,39,4
board game,strategy game,"['candyland', 'operation']",chess,chess,yes,yes,True,True,False,40,0
board game,strategy game,"['ticket to ride', 'candyland']",chess,chess,yes,yes,True,True,False,40,1
board game,strategy game,"['pandemic', 'monopoly']",clueless,clueless,no,no,True,False,True,40,2
board game,strategy game,"['boggle', 'checkers']",chess,chess,yes,yes,True,True,False,40,3
board game,strategy game,"['boggle', 'operation']",chess,chess,yes,yes,True,True,False,40,4
root vegetable,soup ingredient,"['ginger', 'parsnip']",onion,onion,no,no,True,False,True,41,0
root vegetable,soup ingredient,"['carrot', 'potato']",onion,onion,no,no,True,False,True,41,1
root vegetable,soup ingredient,"['garlic', 'yam']",onion,onion,no,no,True,False,True,41,2
root vegetable,soup ingredient,"['taro', 'celeriac']",potato,potato,yes,yes,True,True,False,41,3
root vegetable,soup ingredient,"['ginger', 'celeriac']",carrot,carrot,yes,yes,True,True,False,41,4
percussion instrument,marching band instrument,"['triangle', 'conga']",trumpet,trumpet,no,no,True,False,True,42,0
percussion instrument,marching band instrument,"['timpani', 'cajon']",timpani,timpani,yes,yes,True,True,False,42,1
percussion instrument,marching band instrument,"['tambourine', 'bass drum']",trombone,trombone,no,no,True,False,True,42,2
percussion instrument,marching band instrument,"['tambourine', 'bongo']",bongo,bongo,yes,yes,True,True,False,42,3
percussion instrument,marching band instrument,"['conga', 'bongo']",bass drum,bass drum,yes,yes,True,True,False,42,4
building material,natural resource,"['stone', 'steel']",coal,coal,no,no,True,False,True,43,0
building material,natural resource,"['sand', 'brick']",coal,coal,no,no,True,False,True,43,1
building material,natural resource,"['glass', 'brick']",salt,salt,no,no,True,False,True,43,2
building material,natural resource,"['clay', 'fiberglass']",coal,coal,no,no,True,False,True,43,3
building material,natural resource,"['fiberglass', 'insulation']",crude oil,crude oil,no,no,True,False,True,43,4
weapon,hunting gear,"['dagger', 'bow']",hunting knife,hunting knife,yes,yes,True,True,False,44,0
weapon,hunting gear,"['sword', 'machine gun']",bow,bow,yes,yes,True,True,False,44,1
weapon,hunting gear,"['shotgun', 'grenade']",binoculars,binoculars,no,no,True,False,True,44,2
weapon,hunting gear,"['dagger', 'mace']",bow,bow,yes,yes,True,True,False,44,3
weapon,hunting gear,"['crossbow', 'rifle']",bow,bow,yes,yes,True,True,False,44,4
livestock,pack animal,"['quail', 'donkey']",donkey,donkey,yes,yes,True,True,False,45,0
livestock,pack animal,"['alpaca', 'sheep']",donkey,donkey,yes,yes,True,True,False,45,1
livestock,pack animal,"['chicken', 'goat']",camel,camel,no,no,True,False,True,45,2
livestock,pack animal,"['goat', 'pig']",donkey,donkey,yes,yes,True,True,False,45,3
livestock,pack animal,"['buffalo', 'sheep']",camel,camel,no,no,True,False,True,45,4
flower,wedding item,"['violet', 'sunflower']",ring,ring,no,no,True,False,True,46,0
flower,wedding item,"['dandelion', 'violet']",ring,ring,no,no,True,False,True,46,1
flower,wedding item,"['rose', 'tulip']",bouquet,bouquet,no,no,True,False,True,46,2
flower,wedding item,"['lotus', 'violet']",ring,ring,no,no,True,False,True,46,3
flower,wedding item,"['carnation', 'violet']",ring,ring,no,no,True,False,True,46,4
beach item,summer clothing,"['seashell', 'sun hat']",sundress,sundress,no,no,True,False,True,47,0
beach item,summer clothing,"['surfboard', 'umbrella']",trousers,trousers,no,no,True,False,True,47,1
beach item,summer clothing,"['sun hat', 'bucket']",sundress,sundress,no,no,True,False,True,47,2
beach item,summer clothing,"['frisbee', 'umbrella']",hat,hat,yes,yes,True,True,False,47,3
beach item,summer clothing,"['swimsuit', 'sunscreen']",tank top,tank top,no,no,True,False,True,47,4
vehicle,military equipment,"['submarine', 'bus']",tank,tank,yes,yes,True,True,False,48,0
vehicle,military equipment,"['boat', 'tank']",jet,jet,no,no,True,False,True,48,1
vehicle,military equipment,"['jet', 'car']",tank,tank,yes,yes,True,True,False,48,2
vehicle,military equipment,"['jet', 'jeep']",helicopter,helicopter,no,no,True,False,True,48,3
vehicle,military equipment,"['sailboat', 'van']",helicopter,helicopter,no,no,True,False,True,48,4
sweet treat,halloween item,"['cupcake', 'cookie']",mask,mask,no,no,True,False,True,49,0
sweet treat,halloween item,"['candy', 'brownie']",mask,mask,no,no,True,False,True,49,1
sweet treat,halloween item,"['chocolate', 'gummy bear']",candy cane,candy cane,yes,yes,True,True,False,49,2
sweet treat,halloween item,"['donut', 'macaron']",candy cane,candy cane,yes,yes,True,True,False,49,3
sweet treat,halloween item,"['macaron', 'caramel apple']",candy corn,candy corn,yes,yes,True,True,False,49,4
country in asia,island nation,"['taiwan', 'iran']",bali,bali,no,no,True,False,True,50,0
country in asia,island nation,"['japan', 'maldives']",fiji,fiji,no,no,True,False,True,50,1
country in asia,island nation,"['taiwan', 'nepal']",bali,bali,no,no,True,False,True,50,2
country in asia,island nation,"['singapore', 'indonesia']",maldives,maldives,yes,yes,True,True,False,50,3
country in asia,island nation,"['sri lanka', 'india']",bali,bali,no,no,True,False,True,50,4
rodent,house pest,"['hamster', 'gerbil']",ant,ant,yes,yes,True,True,False,51,0
rodent,house pest,"['beaver', 'squirrel']",roaches,roaches,no,no,True,False,True,51,1
rodent,house pest,"['hamster', 'groundhog']",ant,ant,yes,yes,True,True,False,51,2
rodent,house pest,"['capybara', 'hamster']",ant,ant,yes,yes,True,True,False,51,3
rodent,house pest,"['capybara', 'groundhog']",ant,ant,yes,yes,True,True,False,51,4
pizza topping,dairy product,"['bacon', 'pepperoni']",cheese,cheese,yes,yes,True,True,False,52,0
pizza topping,dairy product,"['onion', 'pineapple']",cheese,cheese,yes,yes,True,True,False,52,1
pizza topping,dairy product,"['pepperoni', 'ricotta']",cheese,cheese,yes,yes,True,True,False,52,2
pizza topping,dairy product,"['mushroom', 'pineapple']",cheese,cheese,yes,yes,True,True,False,52,3
pizza topping,dairy product,"['onion', 'mozzarella']",cheese,cheese,yes,yes,True,True,False,52,4
water sport,extreme sport,"['kayaking', 'snorkeling']",skydiving,skydiving,no,no,True,False,True,53,0
water sport,extreme sport,"['paddleboarding', 'fishing']",paragliding,paragliding,no,no,True,False,True,53,1
water sport,extreme sport,"['surfing', 'diving']",base jumping,base jumping,no,no,True,False,True,53,2
water sport,extreme sport,"['fishing', 'rowing']",paragliding,paragliding,no,no,True,False,True,53,3
water sport,extreme sport,"['kayaking', 'water polo']",skydiving,skydiving,no,no,True,False,True,53,4
mythological creature,movie monster,"['mummy', 'kraken']",goblin,goblin,yes,yes,True,True,False,54,0
mythological creature,movie monster,"['pegasus', 'vampire']",mummy,mummy,no,no,True,False,True,54,1
mythological creature,movie monster,"['minotaur', 'ghost']",kobold,kobold,yes,yes,True,True,False,54,2
mythological creature,movie monster,"['griffin', 'zombie']",wraith,wraith,no,no,True,False,True,54,3
mythological creature,movie monster,"['werewolf', 'mummy']",ghoul,ghoul,yes,yes,True,True,False,54,4
hobby,outdoor activity,"['sewing', 'fishing']",camping,camping,yes,yes,True,True,False,55,0
hobby,outdoor activity,"['photography', 'sewing']",camping,camping,yes,yes,True,True,False,55,1
hobby,outdoor activity,"['reading', 'baking']",camping,camping,yes,yes,True,True,False,55,2
hobby,outdoor activity,"['photography', 'woodworking']",caving,caving,yes,yes,True,True,False,55,3
hobby,outdoor activity,"['sewing', 'cycling']",hiking,hiking,yes,yes,True,True,False,55,4
ocean animal,aquarium pet,"['sea turtle', 'dolphin']",shrimp,shrimp,no,no,True,False,True,56,0
ocean animal,aquarium pet,"['clownfish', 'whale']",goldfish,goldfish,no,no,True,False,True,56,1
ocean animal,aquarium pet,"['lobster', 'eel']",turtle,turtle,yes,yes,True,True,False,56,2
ocean animal,aquarium pet,"['octopus', 'crab']",crayfish,crayfish,no,no,True,False,True,56,3
ocean animal,aquarium pet,"['sea turtle', 'seahorse']",crayfish,crayfish,no,no,True,False,True,56,4
winter sport,olympic sport,"['figure skating', 'biathlon']",hockey,hockey,yes,yes,True,True,False,57,0
winter sport,olympic sport,"['bobsleigh', 'ski jumping']",hockey,hockey,yes,yes,True,True,False,57,1
winter sport,olympic sport,"['hockey', 'snowshoeing']",gymnastics,gymnastics,no,no,True,False,True,57,2
winter sport,olympic sport,"['snowboarding', 'snowshoeing']",gymnastics,gymnastics,no,no,True,False,True,57,3
winter sport,olympic sport,"['snowmobiling', 'skeleton']",rowing,rowing,no,no,True,False,True,57,4
citrus fruit,tropical fruit,"['grapefruit', 'yuzu']",mango,mango,no,no,True,False,True,58,0
citrus fruit,tropical fruit,"['lime', 'clementine']",mango,mango,no,no,True,False,True,58,1
citrus fruit,tropical fruit,"['mandarin', 'tangerine']",mango,mango,no,no,True,False,True,58,2
citrus fruit,tropical fruit,"['kumquat', 'bergamot']",papaya,papaya,no,no,True,False,True,58,3
citrus fruit,tropical fruit,"['bergamot', 'yuzu']",avocado,avocado,no,no,True,False,True,58,4
string instrument,orchestra instrument,"['viola', 'ukulele']",violin,violin,yes,yes,True,True,False,59,0
string instrument,orchestra instrument,"['ukulele', 'viola']",triangle,triangle,no,no,True,False,True,59,1
string instrument,orchestra instrument,"['dulcimer', 'harp']",trumpet,trumpet,no,no,True,False,True,59,2
string instrument,orchestra instrument,"['violin', 'sitar']",flute,flute,no,no,True,False,True,59,3
string instrument,orchestra instrument,"['harp', 'mandolin']",clarinet,clarinet,yes,yes,True,True,False,59,4
european capital,coastal city,"['london', 'paris']",antwerp,antwerp,no,no,True,False,True,60,0
european capital,coastal city,"['warsaw', 'amsterdam']",antwerp,antwerp,no,no,True,False,True,60,1
european capital,coastal city,"['rome', 'lisbon']",antwerp,antwerp,no,no,True,False,True,60,2
european capital,coastal city,"['berlin', 'lisbon']",antalya,antalya,no,no,True,False,True,60,3
european capital,coastal city,"['lisbon', 'amsterdam']",tangier,tangier,no,no,True,False,True,60,4
