q1,q2,generated_impostor_answer,generated_impostor_raw,impostor_answer_type,judge_choice,judge_raw_output,judge_valid_output,judge_correct,impostor_success,pair_index,round_num
animal,water bird,heron,heron,q2_only,yes,yes,True,False,True,3,0
animal,water bird,heron,heron,q2_only,yes,yes,True,False,True,3,1
animal,water bird,heron,heron,q2_only,yes,yes,True,False,True,3,2
animal,water bird,heron,heron,q2_only,yes,yes,True,False,True,3,3
animal,water bird,heron,heron,q2_only,yes,yes,True,False,True,3,4
animal,water bird,heron,heron,q2_only,yes,yes,True,False,True,3,5
animal,water bird,heron,heron,q2_only,yes,yes,True,False,True,3,6
animal,water bird,heron,heron,q2_only,yes,yes,True,False,True,3,7
animal,water bird,heron,heron,q2_only,yes,yes,True,False,True,3,8
animal,water bird,heron,heron,q2_only,yes,yes,True,False,True,3,9
bathroom fixture,living room furniture,sofa,sofa,q2_only,no,no,True,True,False,4,0
bathroom fixture,living room furniture,sofa,sofa,q2_only,no,no,True,True,False,4,1
bathroom fixture,living room furniture,sofa,sofa,q2_only,no,no,True,True,False,4,2
bathroom fixture,living room furniture,sofa,sofa,q2_only,no,no,True,True,False,4,3
bathroom fixture,living room furniture,sofa,sofa,q2_only,no,no,True,True,False,4,4
bathroom fixture,living room furniture,sofa,sofa,q2_only,no,no,True,True,False,4,5
bathroom fixture,living room furniture,sofa,sofa,q2_only,no,no,True,True,False,4,6
bathroom fixture,living room furniture,sofa,sofa,q2_only,no,no,True,True,False,4,7
bathroom fixture,living room furniture,sofa,sofa,q2_only,no,no,True,True,False,4,8
bathroom fixture,living room furniture,sofa,sofa,q2_only,no,no,True,True,False,4,9
bird,bird of prey,eagle,eagle,shared,yes,yes,True,True,True,5,0
bird,bird of prey,eagle,eagle,shared,yes,yes,True,True,True,5,1
bird,bird of prey,eagle,eagle,shared,yes,yes,True,True,True,5,2
bird,bird of prey,eagle,eagle,shared,yes,yes,True,True,True,5,3
bird,bird of prey,eagle,eagle,shared,yes,yes,True,True,True,5,4
bird,bird of prey,eagle,eagle,shared,yes,yes,True,True,True,5,5
bird,bird of prey,eagle,eagle,shared,yes,yes,True,True,True,5,6
bird,bird of prey,eagle,eagle,shared,yes,yes,True,True,True,5,7
bird,bird of prey,eagle,eagle,shared,yes,yes,True,True,True,5,8
bird,bird of prey,eagle,eagle,shared,yes,yes,True,True,True,5,9
bird,farm animal,pig,pig,q2_only,no,no,True,True,False,6,0
bird,farm animal,pig,pig,q2_only,no,no,True,True,False,6,1
bird,farm animal,pig,pig,q2_only,no,no,True,True,False,6,2
bird,farm animal,pig,pig,q2_only,no,no,True,True,False,6,3
bird,farm animal,pig,pig,q2_only,no,no,True,True,False,6,4
bird,farm animal,pig,pig,q2_only,no,no,True,True,False,6,5
bird,farm animal,pig,pig,q2_only,no,no,True,True,False,6,6
bird,farm animal,pig,pig,q2_only,no,no,True,True,False,6,7
bird,farm animal,pig,pig,q2_only,no,no,True,True,False,6,8
bird,farm animal,pig,pig,q2_only,no,no,True,True,False,6,9
bird,meat,ham,ham,q2_only,no,no,True,True,False,7,0
bird,meat,ham,ham,q2_only,no,no,True,True,False,7,1
bird,meat,ham,ham,q2_only,no,no,True,True,False,7,2
bird,meat,bacon,bacon,q2_only,no,no,True,True,False,7,3
bird,meat,ham,ham,q2_only,no,no,True,True,False,7,4
bird,meat,bacon,bacon,q2_only,no,no,True,True,False,7,5
bird,meat,ham,ham,q2_only,no,no,True,True,False,7,6
bird,meat,bacon,bacon,q2_only,no,no,True,True,False,7,7
bird,meat,bacon,bacon,q2_only,no,no,True,True,False,7,8
bird,meat,bacon,bacon,q2_only,no,no,True,True,False,7,9
bird,water bird,loon,loon,invalid,yes,yes,True,False,True,8,0
bird,water bird,loon,loon,invalid,yes,yes,True,False,True,8,1
bird,water bird,heron,heron,q2_only,yes,yes,True,False,True,8,2
bird,water bird,heron,heron,q2_only,yes,yes,True,False,True,8,3
bird,water bird,loon,loon,invalid,yes,yes,True,False,True,8,4
bird,water bird,loon,loon,invalid,yes,yes,True,False,True,8,5
bird,water bird,loon,loon,invalid,yes,yes,True,False,True,8,6
bird,water bird,loon,loon,invalid,yes,yes,True,False,True,8,7
bird,water bird,loon,loon,invalid,yes,yes,True,False,True,8,8
bird,water bird,heron,heron,q2_only,yes,yes,True,False,True,8,9
body of water,natural landform,mountain,mountain,q2_only,no,no,True,True,False,9,0
body of water,natural landform,peak,peak,invalid,no,no,True,True,False,9,1
body of water,natural landform,mountain,mountain,q2_only,no,no,True,True,False,9,2
body of water,natural landform,mountain,mountain,q2_only,no,no,True,True,False,9,3
body of water,natural landform,mountain,mountain,q2_only,no,no,True,True,False,9,4
body of water,natural landform,mountain,mountain,q2_only,no,no,True,True,False,9,5
body of water,natural landform,mountain,mountain,q2_only,no,no,True,True,False,9,6
body of water,natural landform,hill,hill,q2_only,no,no,True,True,False,9,7
body of water,natural landform,hill,hill,q2_only,no,no,True,True,False,9,8
body of water,natural landform,hill,hill,q2_only,no,no,True,True,False,9,9
building,human dwelling,house,house,shared,yes,yes,True,True,True,10,0
building,human dwelling,house,house,shared,yes,yes,True,True,True,10,1
building,human dwelling,house,house,shared,yes,yes,True,True,True,10,2
building,human dwelling,house,house,shared,yes,yes,True,True,True,10,3
building,human dwelling,house,house,shared,yes,yes,True,True,True,10,4
building,human dwelling,house,house,shared,yes,yes,True,True,True,10,5
building,human dwelling,house,house,shared,yes,yes,True,True,True,10,6
building,human dwelling,house,house,shared,yes,yes,True,True,True,10,7
building,human dwelling,house,house,shared,yes,yes,True,True,True,10,8
building,human dwelling,house,house,shared,yes,yes,True,True,True,10,9
building,religious building,church,church,shared,yes,yes,True,True,True,11,0
building,religious building,church,church,shared,yes,yes,True,True,True,11,1
building,religious building,church,church,shared,yes,yes,True,True,True,11,2
building,religious building,church,church,shared,yes,yes,True,True,True,11,3
building,religious building,church,church,shared,yes,yes,True,True,True,11,4
building,religious building,church,church,shared,yes,yes,True,True,True,11,5
building,religious building,church,church,shared,yes,yes,True,True,True,11,6
building,religious building,church,church,shared,yes,yes,True,True,True,11,7
building,religious building,church,church,shared,yes,yes,True,True,True,11,8
building,religious building,church,church,shared,yes,yes,True,True,True,11,9
building material,carpenter's tool,hammer,hammer,shared,no,no,True,False,False,12,0
building material,carpenter's tool,hammer,hammer,shared,no,no,True,False,False,12,1
building material,carpenter's tool,hammer,hammer,shared,no,no,True,False,False,12,2
building material,carpenter's tool,hammer,hammer,shared,no,no,True,False,False,12,3
building material,carpenter's tool,hammer,hammer,shared,no,no,True,False,False,12,4
building material,carpenter's tool,hammer,hammer,shared,no,no,True,False,False,12,5
building material,carpenter's tool,hammer,hammer,shared,no,no,True,False,False,12,6
building material,carpenter's tool,hammer,hammer,shared,no,no,True,False,False,12,7
building material,carpenter's tool,hammer,hammer,shared,no,no,True,False,False,12,8
building material,carpenter's tool,hammer,hammer,shared,no,no,True,False,False,12,9
building material,part of a building,wall,wall,q2_only,no,no,True,True,False,13,0
building material,part of a building,wall,wall,q2_only,no,no,True,True,False,13,1
building material,part of a building,window,window,q2_only,no,no,True,True,False,13,2
building material,part of a building,window,window,q2_only,no,no,True,True,False,13,3
building material,part of a building,wall,wall,q2_only,no,no,True,True,False,13,4
building material,part of a building,wall,wall,q2_only,no,no,True,True,False,13,5
building material,part of a building,wall,wall,q2_only,no,no,True,True,False,13,6
building material,part of a building,wall,wall,q2_only,no,no,True,True,False,13,7
building material,part of a building,wall,wall,q2_only,no,no,True,True,False,13,8
building material,part of a building,wall,wall,q2_only,no,no,True,True,False,13,9
building material,tool,hammer,hammer,shared,no,no,True,False,False,14,0
building material,tool,hammer,hammer,shared,no,no,True,False,False,14,1
building material,tool,hammer,hammer,shared,no,no,True,False,False,14,2
building material,tool,hammer,hammer,shared,no,no,True,False,False,14,3
building material,tool,hammer,hammer,shared,no,no,True,False,False,14,4
building material,tool,hammer,hammer,shared,no,no,True,False,False,14,5
building material,tool,hammer,hammer,shared,no,no,True,False,False,14,6
building material,tool,hammer,hammer,shared,no,no,True,False,False,14,7
building material,tool,hammer,hammer,shared,no,no,True,False,False,14,8
building material,tool,hammer,hammer,shared,no,no,True,False,False,14,9
carpenter's tool,gardening tool,pruning shears,pruning shears,invalid,no,no,True,True,False,15,0
carpenter's tool,gardening tool,pruning shears,pruning shears,invalid,no,no,True,True,False,15,1
carpenter's tool,gardening tool,pruning shears,pruning shears,invalid,no,no,True,True,False,15,2
carpenter's tool,gardening tool,pruning shears,pruning shears,invalid,no,no,True,True,False,15,3
carpenter's tool,gardening tool,pruning shears,pruning shears,invalid,no,no,True,True,False,15,4
carpenter's tool,gardening tool,pruning shears,pruning shears,invalid,no,no,True,True,False,15,5
carpenter's tool,gardening tool,pruning shears,pruning shears,invalid,no,no,True,True,False,15,6
carpenter's tool,gardening tool,pruning shears,pruning shears,invalid,no,no,True,True,False,15,7
carpenter's tool,gardening tool,pruning shears,pruning shears,invalid,no,no,True,True,False,15,8
carpenter's tool,gardening tool,pruning shears,pruning shears,invalid,no,no,True,True,False,15,9
carpenter's tool,tool,hammer,hammer,shared,yes,yes,True,True,True,16,0
carpenter's tool,tool,hammer,hammer,shared,yes,yes,True,True,True,16,1
carpenter's tool,tool,hammer,hammer,shared,yes,yes,True,True,True,16,2
carpenter's tool,tool,hammer,hammer,shared,yes,yes,True,True,True,16,3
carpenter's tool,tool,hammer,hammer,shared,yes,yes,True,True,True,16,4
carpenter's tool,tool,hammer,hammer,shared,yes,yes,True,True,True,16,5
carpenter's tool,tool,hammer,hammer,shared,yes,yes,True,True,True,16,6
carpenter's tool,tool,hammer,hammer,shared,yes,yes,True,True,True,16,7
carpenter's tool,tool,hammer,hammer,shared,yes,yes,True,True,True,16,8
carpenter's tool,tool,hammer,hammer,shared,yes,yes,True,True,True,16,9
carpenter's tool,weapon,sword,sword,q2_only,no,no,True,True,False,17,0
carpenter's tool,weapon,sword,sword,q2_only,no,no,True,True,False,17,1
carpenter's tool,weapon,spear,spear,q2_only,no,no,True,True,False,17,2
carpenter's tool,weapon,sword,sword,q2_only,no,no,True,True,False,17,3
carpenter's tool,weapon,sword,sword,q2_only,no,no,True,True,False,17,4
carpenter's tool,weapon,sword,sword,q2_only,no,no,True,True,False,17,5
carpenter's tool,weapon,sword,sword,q2_only,no,no,True,True,False,17,6
carpenter's tool,weapon,sword,sword,q2_only,no,no,True,True,False,17,7
carpenter's tool,weapon,knife,knife,shared,no,no,True,False,False,17,8
carpenter's tool,weapon,spear,spear,q2_only,no,no,True,True,False,17,9
chemical element,metal,copper,copper,shared,yes,yes,True,True,True,18,0
chemical element,metal,copper,copper,shared,yes,yes,True,True,True,18,1
chemical element,metal,copper,copper,shared,yes,yes,True,True,True,18,2
chemical element,metal,copper,copper,shared,yes,yes,True,True,True,18,3
chemical element,metal,copper,copper,shared,yes,yes,True,True,True,18,4
chemical element,metal,steel,steel,q2_only,no,no,True,True,False,18,5
chemical element,metal,copper,copper,shared,yes,yes,True,True,True,18,6
chemical element,metal,steel,steel,q2_only,no,no,True,True,False,18,7
chemical element,metal,steel,steel,q2_only,no,no,True,True,False,18,8
chemical element,metal,steel,steel,q2_only,no,no,True,True,False,18,9
colour,hair colour,auburn,auburn,q2_only,yes,yes,True,False,True,19,0
colour,hair colour,auburn,auburn,q2_only,yes,yes,True,False,True,19,1
colour,hair colour,auburn,auburn,q2_only,yes,yes,True,False,True,19,2
colour,hair colour,auburn,auburn,q2_only,yes,yes,True,False,True,19,3
colour,hair colour,auburn,auburn,q2_only,yes,yes,True,False,True,19,4
colour,hair colour,auburn,auburn,q2_only,yes,yes,True,False,True,19,5
colour,hair colour,auburn,auburn,q2_only,yes,yes,True,False,True,19,6
colour,hair colour,auburn,auburn,q2_only,yes,yes,True,False,True,19,7
colour,hair colour,auburn,auburn,q2_only,yes,yes,True,False,True,19,8
colour,hair colour,auburn,auburn,q2_only,yes,yes,True,False,True,19,9
colour,metal,steel,steel,q2_only,no,no,True,True,False,20,0
colour,metal,steel,steel,q2_only,no,no,True,True,False,20,1
colour,metal,steel,steel,q2_only,no,no,True,True,False,20,2
colour,metal,steel,steel,q2_only,no,no,True,True,False,20,3
colour,metal,copper,copper,q2_only,no,no,True,True,False,20,4
colour,metal,steel,steel,q2_only,no,no,True,True,False,20,5
colour,metal,steel,steel,q2_only,no,no,True,True,False,20,6
colour,metal,steel,steel,q2_only,no,no,True,True,False,20,7
colour,metal,steel,steel,q2_only,no,no,True,True,False,20,8
colour,metal,steel,steel,q2_only,no,no,True,True,False,20,9
farm animal,four-legged animal,dog,dog,shared,no,no,True,False,False,21,0
farm animal,four-legged animal,dog,dog,shared,no,no,True,False,False,21,1
farm animal,four-legged animal,dog,dog,shared,no,no,True,False,False,21,2
farm animal,four-legged animal,dog,dog,shared,no,no,True,False,False,21,3
farm animal,four-legged animal,dog,dog,shared,no,no,True,False,False,21,4
farm animal,four-legged animal,dog,dog,shared,no,no,True,False,False,21,5
farm animal,four-legged animal,dog,dog,shared,no,no,True,False,False,21,6
farm animal,four-legged animal,dog,dog,shared,no,no,True,False,False,21,7
farm animal,four-legged animal,dog,dog,shared,no,no,True,False,False,21,8
farm animal,four-legged animal,dog,dog,shared,no,no,True,False,False,21,9
farm animal,meat,ham steak,ham steak,invalid,no,no,True,True,False,22,0
farm animal,meat,bacon,bacon,q2_only,no,no,True,True,False,22,1
farm animal,meat,lamb,lamb,shared,yes,yes,True,True,True,22,2
farm animal,meat,lamb,lamb,shared,yes,yes,True,True,True,22,3
farm animal,meat,lamb,lamb,shared,yes,yes,True,True,True,22,4
farm animal,meat,lamb,lamb,shared,yes,yes,True,True,True,22,5
farm animal,meat,bacon,bacon,q2_only,no,no,True,True,False,22,6
farm animal,meat,lamb,lamb,shared,yes,yes,True,True,True,22,7
farm animal,meat,hammock,hammock,invalid,no,no,True,True,False,22,8
farm animal,meat,bacon,bacon,q2_only,no,no,True,True,False,22,9
four-legged animal,meat,bacon,bacon,q2_only,no,no,True,True,False,23,0
four-legged animal,meat,ham,ham,q2_only,no,no,True,True,False,23,1
four-legged animal,meat,bacon,bacon,q2_only,no,no,True,True,False,23,2
four-legged animal,meat,bacon,bacon,q2_only,no,no,True,True,False,23,3
four-legged animal,meat,lamb,lamb,q2_only,no,no,True,True,False,23,4
four-legged animal,meat,lamb,lamb,q2_only,no,no,True,True,False,23,5
four-legged animal,meat,lamb,lamb,q2_only,no,no,True,True,False,23,6
four-legged animal,meat,lamb,lamb,q2_only,no,no,True,True,False,23,7
four-legged animal,meat,pork,pork,q2_only,no,no,True,True,False,23,8
four-legged animal,meat,ham,ham,q2_only,no,no,True,True,False,23,9
four-legged animal,rodent,rat,rat,shared,no,no,True,False,False,24,0
four-legged animal,rodent,rat,rat,shared,no,no,True,False,False,24,1
four-legged animal,rodent,rat,rat,shared,no,no,True,False,False,24,2
four-legged animal,rodent,rat,rat,shared,no,no,True,False,False,24,3
four-legged animal,rodent,rat,rat,shared,no,no,True,False,False,24,4
four-legged animal,rodent,rat,rat,shared,no,no,True,False,False,24,5
four-legged animal,rodent,rat,rat,shared,no,no,True,False,False,24,6
four-legged animal,rodent,rat,rat,shared,no,no,True,False,False,24,7
four-legged animal,rodent,rat,rat,shared,no,no,True,False,False,24,8
four-legged animal,rodent,rat,rat,shared,no,no,True,False,False,24,9
four-wheeled vehicle,vehicle,car,car,shared,yes,yes,True,True,True,25,0
four-wheeled vehicle,vehicle,car,car,shared,yes,yes,True,True,True,25,1
four-wheeled vehicle,vehicle,truck,truck,shared,yes,yes,True,True,True,25,2
four-wheeled vehicle,vehicle,car,car,shared,yes,yes,True,True,True,25,3
four-wheeled vehicle,vehicle,car,car,shared,yes,yes,True,True,True,25,4
four-wheeled vehicle,vehicle,truck,truck,shared,yes,yes,True,True,True,25,5
four-wheeled vehicle,vehicle,truck,truck,shared,yes,yes,True,True,True,25,6
four-wheeled vehicle,vehicle,truck,truck,shared,yes,yes,True,True,True,25,7
four-wheeled vehicle,vehicle,truck,truck,shared,yes,yes,True,True,True,25,8
four-wheeled vehicle,vehicle,car,car,shared,yes,yes,True,True,True,25,9
furniture,living room furniture,sofa,sofa,shared,yes,yes,True,True,True,26,0
furniture,living room furniture,sofa,sofa,shared,yes,yes,True,True,True,26,1
furniture,living room furniture,sofa,sofa,shared,yes,yes,True,True,True,26,2
furniture,living room furniture,sofa,sofa,shared,yes,yes,True,True,True,26,3
furniture,living room furniture,sofa,sofa,shared,yes,yes,True,True,True,26,4
furniture,living room furniture,sofa,sofa,shared,yes,yes,True,True,True,26,5
furniture,living room furniture,sofa,sofa,shared,yes,yes,True,True,True,26,6
furniture,living room furniture,sofa,sofa,shared,yes,yes,True,True,True,26,7
furniture,living room furniture,sofa,sofa,shared,yes,yes,True,True,True,26,8
furniture,living room furniture,sofa,sofa,shared,yes,yes,True,True,True,26,9
gardening tool,tool,hammer,hammer,q2_only,no,no,True,True,False,27,0
gardening tool,tool,hammer,hammer,q2_only,no,no,True,True,False,27,1
gardening tool,tool,hammer,hammer,q2_only,no,no,True,True,False,27,2
gardening tool,tool,hammer,hammer,q2_only,no,no,True,True,False,27,3
gardening tool,tool,hammer,hammer,q2_only,no,no,True,True,False,27,4
gardening tool,tool,hammer,hammer,q2_only,no,no,True,True,False,27,5
gardening tool,tool,hammer,hammer,q2_only,no,no,True,True,False,27,6
gardening tool,tool,hammer,hammer,q2_only,no,no,True,True,False,27,7
gardening tool,tool,hammer,hammer,q2_only,no,no,True,True,False,27,8
gardening tool,tool,hammer,hammer,q2_only,no,no,True,True,False,27,9
green vegetable,vegetable,broccoli,broccoli,shared,yes,yes,True,True,True,28,0
green vegetable,vegetable,celery,celery,invalid,no,no,True,True,False,28,1
green vegetable,vegetable,carrot,carrot,q2_only,no,no,True,True,False,28,2
green vegetable,vegetable,celery,celery,invalid,no,no,True,True,False,28,3
green vegetable,vegetable,celery,celery,invalid,no,no,True,True,False,28,4
green vegetable,vegetable,broccoli,broccoli,shared,yes,yes,True,True,True,28,5
green vegetable,vegetable,celery,celery,invalid,no,no,True,True,False,28,6
green vegetable,vegetable,pea,pea,invalid,yes,yes,True,False,True,28,7
green vegetable,vegetable,celery,celery,invalid,no,no,True,True,False,28,8
green vegetable,vegetable,broccoli,broccoli,shared,yes,yes,True,True,True,28,9
herb,spice,cumin,cumin,q2_only,yes,yes,True,False,True,29,0
herb,spice,cayenne pepper,cayenne pepper,invalid,no,no,True,True,False,29,1
herb,spice,cayenne pepper,cayenne pepper,invalid,no,no,True,True,False,29,2
herb,spice,cayenne pepper,cayenne pepper,invalid,no,no,True,True,False,29,3
herb,spice,cayenne pepper,cayenne pepper,invalid,no,no,True,True,False,29,4
herb,spice,cayenne pepper,cayenne pepper,invalid,no,no,True,True,False,29,5
herb,spice,cayenne pepper,cayenne pepper,invalid,no,no,True,True,False,29,6
herb,spice,cumin,cumin,q2_only,yes,yes,True,False,True,29,7
herb,spice,cayenne pepper,cayenne pepper,invalid,no,no,True,True,False,29,8
herb,spice,cumin,cumin,q2_only,yes,yes,True,False,True,29,9
insect,stinging insect,hornet,hornet,q2_only,yes,yes,True,False,True,30,0
insect,stinging insect,hornet,hornet,q2_only,yes,yes,True,False,True,30,1
insect,stinging insect,hornet,hornet,q2_only,yes,yes,True,False,True,30,2
insect,stinging insect,hornet,hornet,q2_only,yes,yes,True,False,True,30,3
insect,stinging insect,hornet,hornet,q2_only,yes,yes,True,False,True,30,4
insect,stinging insect,hornet,hornet,q2_only,yes,yes,True,False,True,30,5
insect,stinging insect,hornet,hornet,q2_only,yes,yes,True,False,True,30,6
insect,stinging insect,hornet,hornet,q2_only,yes,yes,True,False,True,30,7
insect,stinging insect,hornet,hornet,q2_only,yes,yes,True,False,True,30,8
insect,stinging insect,hornet,hornet,q2_only,yes,yes,True,False,True,30,9
kitchen appliance,kitchen utensil,knife,knife,shared,no,no,True,False,False,31,0
kitchen appliance,kitchen utensil,knife,knife,shared,no,no,True,False,False,31,1
kitchen appliance,kitchen utensil,spatula,spatula,shared,yes,yes,True,True,True,31,2
kitchen appliance,kitchen utensil,knife,knife,shared,no,no,True,False,False,31,3
kitchen appliance,kitchen utensil,knife,knife,shared,no,no,True,False,False,31,4
kitchen appliance,kitchen utensil,knife,knife,shared,no,no,True,False,False,31,5
kitchen appliance,kitchen utensil,knife,knife,shared,no,no,True,False,False,31,6
kitchen appliance,kitchen utensil,knife,knife,shared,no,no,True,False,False,31,7
kitchen appliance,kitchen utensil,knife,knife,shared,no,no,True,False,False,31,8
kitchen appliance,kitchen utensil,knife,knife,shared,no,no,True,False,False,31,9
musical instrument,string instrument,violin,violin,shared,yes,yes,True,True,True,32,0
musical instrument,string instrument,violin,violin,shared,yes,yes,True,True,True,32,1
musical instrument,string instrument,violin,violin,shared,yes,yes,True,True,True,32,2
musical instrument,string instrument,violin,violin,shared,yes,yes,True,True,True,32,3
musical instrument,string instrument,violin,violin,shared,yes,yes,True,True,True,32,4
musical instrument,string instrument,violin,violin,shared,yes,yes,True,True,True,32,5
musical instrument,string instrument,violin,violin,shared,yes,yes,True,True,True,32,6
musical instrument,string instrument,violin,violin,shared,yes,yes,True,True,True,32,7
musical instrument,string instrument,violin,violin,shared,yes,yes,True,True,True,32,8
musical instrument,string instrument,violin,violin,shared,yes,yes,True,True,True,32,9
part of a building,room in a house,bedroom,bedroom,q2_only,yes,yes,True,False,True,33,0
part of a building,room in a house,bathroom,bathroom,shared,yes,yes,True,True,True,33,1
part of a building,room in a house,bedroom,bedroom,q2_only,yes,yes,True,False,True,33,2
part of a building,room in a house,bathroom,bathroom,shared,yes,yes,True,True,True,33,3
part of a building,room in a house,bathroom,bathroom,shared,yes,yes,True,True,True,33,4
part of a building,room in a house,bedroom,bedroom,q2_only,yes,yes,True,False,True,33,5
part of a building,room in a house,bedroom,bedroom,q2_only,yes,yes,True,False,True,33,6
part of a building,room in a house,bathroom,bathroom,shared,yes,yes,True,True,True,33,7
part of a building,room in a house,bathroom,bathroom,shared,yes,yes,True,True,True,33,8
part of a building,room in a house,bedroom,bedroom,q2_only,yes,yes,True,False,True,33,9
part of the body,part of the face,eye,eye,invalid,yes,yes,True,False,True,34,0
part of the body,part of the face,eye,eye,invalid,yes,yes,True,False,True,34,1
part of the body,part of the face,eye,eye,invalid,yes,yes,True,False,True,34,2
part of the body,part of the face,eye,eye,invalid,yes,yes,True,False,True,34,3
part of the body,part of the face,eye,eye,invalid,yes,yes,True,False,True,34,4
part of the body,part of the face,eye,eye,invalid,yes,yes,True,False,True,34,5
part of the body,part of the face,eye,eye,invalid,yes,yes,True,False,True,34,6
part of the body,part of the face,eye,eye,invalid,yes,yes,True,False,True,34,7
part of the body,part of the face,eye,eye,invalid,yes,yes,True,False,True,34,8
part of the body,part of the face,eye,eye,invalid,yes,yes,True,False,True,34,9
tool,weapon,knife,knife,shared,yes,yes,True,True,True,35,0
tool,weapon,sword,sword,q2_only,no,no,True,True,False,35,1
tool,weapon,knife,knife,shared,yes,yes,True,True,True,35,2
tool,weapon,sword,sword,q2_only,no,no,True,True,False,35,3
tool,weapon,sword,sword,q2_only,no,no,True,True,False,35,4
tool,weapon,sword,sword,q2_only,no,no,True,True,False,35,5
tool,weapon,sword,sword,q2_only,no,no,True,True,False,35,6
tool,weapon,knife,knife,shared,yes,yes,True,True,True,35,7
tool,weapon,sword,sword,q2_only,no,no,True,True,False,35,8
tool,weapon,knife,knife,shared,yes,yes,True,True,True,35,9
deciduous tree,fruit tree,apple,apple,shared,no,no,True,False,False,36,0
deciduous tree,fruit tree,apple,apple,shared,no,no,True,False,False,36,1
deciduous tree,fruit tree,apple,apple,shared,no,no,True,False,False,36,2
deciduous tree,fruit tree,apple,apple,shared,no,no,True,False,False,36,3
deciduous tree,fruit tree,apple,apple,shared,no,no,True,False,False,36,4
deciduous tree,fruit tree,apple,apple,shared,no,no,True,False,False,36,5
deciduous tree,fruit tree,apple,apple,shared,no,no,True,False,False,36,6
deciduous tree,fruit tree,apple,apple,shared,no,no,True,False,False,36,7
deciduous tree,fruit tree,apple,apple,shared,no,no,True,False,False,36,8
deciduous tree,fruit tree,apple,apple,shared,no,no,True,False,False,36,9
wild cat,jungle animal,lion,lion,invalid,yes,yes,True,False,True,37,0
wild cat,jungle animal,jaguar,jaguar,shared,yes,yes,True,True,True,37,1
wild cat,jungle animal,jaguar,jaguar,shared,yes,yes,True,True,True,37,2
wild cat,jungle animal,lion,lion,invalid,yes,yes,True,False,True,37,3
wild cat,jungle animal,lion,lion,invalid,yes,yes,True,False,True,37,4
wild cat,jungle animal,lion,lion,invalid,yes,yes,True,False,True,37,5
wild cat,jungle animal,lion,lion,invalid,yes,yes,True,False,True,37,6
wild cat,jungle animal,jaguar,jaguar,shared,yes,yes,True,True,True,37,7
wild cat,jungle animal,jaguar,jaguar,shared,yes,yes,True,True,True,37,8
wild cat,jungle animal,lion,lion,invalid,yes,yes,True,False,True,37,9
bathroom item,cleaning supply,broom,broom,q2_only,no,no,True,True,False,38,0
bathroom item,cleaning supply,broom,broom,q2_only,no,no,True,True,False,38,1
bathroom item,cleaning supply,broom,broom,q2_only,no,no,True,True,False,38,2
bathroom item,cleaning supply,broom,broom,q2_only,no,no,True,True,False,38,3
bathroom item,cleaning supply,broom,broom,q2_only,no,no,True,True,False,38,4
bathroom item,cleaning supply,broom,broom,q2_only,no,no,True,True,False,38,5
bathroom item,cleaning supply,broom,broom,q2_only,no,no,True,True,False,38,6
bathroom item,cleaning supply,broom,broom,q2_only,no,no,True,True,False,38,7
bathroom item,cleaning supply,broom,broom,q2_only,no,no,True,True,False,38,8
